"Name(ocultar)";"Futbolista_ID";"GK";"DL";"DC";"DR";"WBL";"WBR";"DM";"ML";"MC";"MR";"AML";"AMC";"AMR";"ST"
"Emanuele Zuelli";"7048";"1";"1";"1";"1";"1";"1";"10";"12";"20";"1";"1";"1";"1";"1"
"Logan Delaurier-Chaubet";"7049";"1";"1";"1";"1";"1";"1";"1";"17";"15";"1";"20";"17";"1";"1"
"Lennard Hartjes";"7050";"1";"1";"17";"1";"1";"1";"18";"1";"20";"1";"1";"1";"1";"1"
"Renzo Malanca";"7051";"1";"1";"20";"12";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Nathan Ngoy";"7052";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Stanislav Agkatsev";"7053";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Takuhiro Nakai";"7054";"1";"1";"1";"1";"1";"1";"1";"1";"20";"12";"1";"18";"1";"1"
"Stanislav Shopov";"7055";"1";"1";"1";"1";"1";"1";"1";"1";"17";"1";"13";"20";"16";"1"
"Ivo Mammini";"7056";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"8";"1";"1";"20"
"Álvaro Carrillo";"7057";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Alan Minda";"7058";"1";"1";"1";"1";"1";"1";"1";"12";"1";"10";"20";"1";"17";"15"
"Darly N'landu";"7059";"1";"1";"1";"1";"1";"1";"1";"1";"20";"1";"1";"1";"1";"1"
"Victor Melekhin";"7060";"1";"1";"20";"1";"1";"1";"15";"1";"12";"1";"1";"1";"1";"1"
"Dani Villahermosa";"7061";"1";"1";"1";"1";"1";"1";"18";"1";"20";"1";"1";"1";"1";"1"
"Vitaly Botnar'";"7062";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Abdullah Al-Hamdan";"7063";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Esteban Obregón";"7064";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"12";"20";"12"
"Patati";"7065";"1";"1";"1";"1";"1";"1";"1";"1";"12";"1";"1";"20";"1";"1"
"Giovani";"7066";"1";"1";"1";"1";"1";"1";"1";"10";"5";"8";"17";"11";"20";"13"
"Maghnes Akliouche";"7067";"1";"1";"1";"1";"1";"1";"1";"13";"20";"13";"17";"18";"15";"1"
"Mateo Pellegrino";"7068";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"11";"1";"11";"20"
"George Johnston";"7069";"1";"10";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"James Scott";"7070";"1";"1";"1";"1";"1";"1";"1";"13";"1";"12";"19";"14";"18";"20"
"Ayoub Assal";"7071";"1";"1";"1";"1";"1";"1";"1";"12";"10";"13";"15";"20";"18";"16"
"David Ochoa";"7072";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Álvaro Martín";"7073";"1";"1";"1";"1";"1";"1";"1";"14";"17";"13";"20";"17";"15";"1"
"Michele Cerofolini";"7074";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Jahkeele Marshall-Rutty";"7075";"1";"15";"1";"19";"11";"15";"1";"11";"1";"13";"16";"1";"20";"1"
"Or Blorian";"7076";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Lewis Gibson";"7077";"1";"8";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Brandon Cooper";"7078";"1";"6";"20";"6";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Dennis Borkowski";"7079";"1";"1";"1";"1";"1";"1";"1";"16";"16";"14";"20";"17";"14";"18"
"Theo";"7080";"1";"1";"1";"1";"1";"1";"1";"1";"20";"13";"1";"18";"1";"1"
"Callum Doyle";"7081";"1";"16";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Álex Forés";"7082";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Josh Coburn";"7083";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"12";"1";"20"
"Douglas Mendes";"7084";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Randy Schneider";"7085";"1";"1";"1";"1";"1";"1";"10";"1";"20";"1";"1";"20";"1";"1"
"Mathias Fjørtoft Løvik";"7086";"1";"20";"6";"18";"20";"13";"1";"12";"1";"1";"10";"1";"1";"1"
"Agustín Hausch";"7087";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Jamie Roche";"7088";"1";"1";"18";"1";"1";"1";"19";"1";"20";"1";"1";"10";"1";"1"
"Tony Springett";"7089";"1";"1";"1";"1";"1";"1";"1";"18";"17";"18";"20";"1";"20";"1"
"Zhang Yuning";"7090";"1";"1";"1";"1";"1";"1";"1";"1";"1";"5";"12";"10";"9";"20"
"Li Lei";"7091";"1";"19";"7";"1";"17";"1";"9";"12";"20";"5";"11";"6";"4";"1"
"Nathan";"7092";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20";"10";"1";"15"
"Pedrinho";"7093";"1";"1";"1";"1";"1";"1";"1";"15";"12";"10";"20";"15";"12";"1"
"Lewis Hall";"7094";"1";"15";"15";"1";"17";"1";"18";"13";"20";"1";"13";"15";"1";"1"
"Guilherme Bala";"7095";"1";"1";"1";"1";"1";"1";"1";"12";"1";"12";"20";"1";"16";"16"
"Lautaro De León";"7096";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Marin Petkov";"7097";"1";"1";"1";"1";"6";"6";"1";"10";"1";"11";"16";"20";"18";"17"
"Giacomo Faticanti";"7098";"1";"1";"1";"1";"1";"1";"20";"1";"20";"1";"1";"1";"1";"1"
"Joaquín Gho";"7099";"1";"1";"1";"1";"1";"1";"1";"14";"1";"20";"12";"1";"18";"1"
"Ramiro Lobo";"7100";"1";"1";"1";"1";"1";"1";"1";"1";"17";"1";"1";"20";"1";"9"
"Veldin Hodža";"7101";"1";"1";"1";"1";"1";"1";"20";"1";"17";"1";"1";"12";"1";"1"
"Paolo Gozzi";"7102";"1";"11";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Victor Lind";"7103";"1";"1";"1";"1";"1";"1";"1";"14";"9";"13";"18";"14";"16";"20"
"Famana Quizera";"7104";"1";"1";"1";"1";"1";"1";"12";"12";"18";"12";"18";"20";"18";"1"
"Tashan Oakley-Boothe";"7105";"1";"1";"1";"1";"1";"1";"16";"1";"20";"1";"1";"14";"1";"1"
"Luca Belardinelli";"7106";"1";"1";"12";"1";"1";"1";"20";"1";"20";"1";"1";"11";"1";"1"
"Oscar Fraulo";"7107";"1";"1";"1";"1";"8";"8";"16";"10";"20";"10";"10";"15";"10";"1"
"Alessandro Russo";"7108";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Finley Burns";"7109";"1";"1";"20";"1";"1";"1";"12";"1";"1";"1";"1";"1";"1";"1"
"Bojan Kovačević";"7110";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Amadou N'Diaye";"7111";"1";"20";"1";"1";"14";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Yvandro Borges Sanches";"7112";"1";"1";"1";"1";"1";"1";"1";"15";"12";"15";"20";"14";"18";"12"
"Elias Hoff Melkersen";"7113";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"13";"20";"20"
"Luca Plogmann";"7114";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Ale García";"7115";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20";"12";"18";"12"
"Nnamdi Collins";"7116";"1";"13";"20";"13";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Clemens Riedel";"7117";"1";"1";"20";"1";"1";"1";"15";"1";"15";"1";"1";"1";"1";"1"
"Ilay Elmkies";"7118";"1";"1";"11";"1";"1";"1";"17";"1";"20";"14";"1";"14";"12";"1"
"Josh Griffiths";"7119";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Jensen Weir";"7120";"1";"1";"1";"1";"1";"1";"19";"1";"20";"1";"1";"14";"1";"1"
"Sergio Kalaj";"7121";"1";"1";"20";"12";"1";"10";"1";"1";"1";"1";"1";"1";"1";"1"
"Lewis Brunt";"7122";"1";"10";"19";"12";"1";"1";"20";"1";"17";"1";"1";"8";"1";"1"
"Agustín Rodríguez";"7123";"1";"1";"1";"1";"1";"1";"1";"15";"20";"1";"17";"1";"1";"10"
"Ivan Šaranić";"7124";"1";"1";"1";"1";"1";"1";"1";"1";"14";"13";"10";"20";"17";"1"
"Juan Pacchini";"7125";"1";"1";"1";"1";"1";"1";"20";"1";"15";"1";"1";"1";"1";"1"
"Ellery Balcombe";"7126";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Sibusiso Mabiliso";"7127";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Nahuel Noll";"7128";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Ozziel Herrera";"7129";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"13";"1";"17";"20"
"Yusuf Barasi";"7130";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"18";"10";"10";"20"
"Kofi Balmer";"7131";"1";"1";"20";"14";"1";"1";"12";"1";"1";"1";"1";"1";"1";"1"
"Nicolás Vallejo";"7132";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Peke";"7133";"1";"1";"1";"1";"1";"1";"1";"18";"1";"12";"20";"18";"18";"1"
"Tayo Adaramola";"7134";"1";"18";"1";"1";"20";"1";"1";"12";"1";"1";"8";"1";"1";"1"
"Lenny Lacroix";"7135";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Cauê";"7136";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Nicolás Palavecino";"7137";"1";"1";"1";"1";"1";"1";"1";"1";"17";"1";"10";"20";"10";"1"
"Sammy Braybrooke";"7138";"1";"1";"1";"1";"1";"1";"16";"1";"20";"1";"1";"14";"1";"1"
"Aliou Baldé";"7139";"1";"1";"1";"1";"1";"1";"1";"17";"1";"17";"19";"1";"20";"12"
"Santiago Hidalgo";"7140";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Chi Zhongguo";"7141";"1";"1";"8";"1";"1";"1";"18";"1";"20";"5";"1";"16";"6";"1"
"Guilherme Biro";"7142";"1";"13";"1";"1";"14";"1";"1";"16";"12";"16";"17";"20";"17";"1"
"Henry Lawrence";"7143";"1";"18";"11";"20";"18";"20";"17";"13";"14";"12";"14";"14";"14";"1"
"Noah Diliberto";"7144";"1";"1";"1";"1";"1";"1";"20";"1";"17";"1";"1";"1";"1";"1"
"Uroš Kabić";"7145";"1";"1";"1";"1";"1";"1";"1";"8";"6";"13";"17";"15";"20";"12"
"Sonny Laiton";"7146";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Daniel Karlsbakk";"7147";"1";"1";"1";"1";"1";"1";"1";"16";"1";"14";"20";"1";"16";"18"
"Ar'jany Martha";"7148";"1";"1";"1";"1";"1";"1";"1";"16";"16";"16";"19";"17";"20";"12"
"Ismaël Doukouré";"7149";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Joao Grimaldo";"7150";"1";"1";"1";"1";"1";"1";"1";"1";"1";"17";"17";"1";"20";"1"
"Daan Huisman";"7151";"1";"1";"1";"1";"1";"1";"10";"1";"20";"1";"1";"18";"1";"1"
"Jaimy Kroesen";"7152";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Ignacio Tapia";"7153";"1";"1";"1";"1";"1";"1";"1";"1";"15";"1";"1";"20";"1";"1"
"Bartol Barišić";"7154";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Matthis Abline";"7155";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Alex Juárez";"7156";"1";"1";"1";"1";"1";"1";"1";"1";"1";"15";"1";"1";"20";"1"
"Julian Rijkhoff";"7157";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"14";"1";"20"
"Lisandru Tramoni";"7158";"1";"1";"1";"1";"1";"1";"1";"1";"1";"12";"18";"15";"20";"1"
"Moustapha Cissé";"7159";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Wassim Essanoussi";"7160";"1";"1";"1";"1";"1";"1";"1";"14";"20";"1";"11";"15";"1";"1"
"Catalin Cîrjan";"7161";"1";"1";"1";"1";"1";"1";"1";"12";"16";"12";"12";"20";"15";"1"
"Nelson Weiper";"7162";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"14";"14";"14";"20"
"Trae Coyle";"7163";"1";"1";"1";"1";"1";"1";"1";"12";"12";"1";"18";"18";"20";"12"
"Noah Naujoks";"7164";"1";"1";"1";"1";"1";"1";"20";"1";"18";"1";"1";"16";"1";"1"
"Giovanni Haag";"7165";"1";"1";"17";"1";"1";"1";"20";"1";"17";"1";"1";"1";"1";"1"
"Stanis Idumbo Muzambo";"7166";"1";"1";"1";"1";"1";"1";"13";"1";"17";"1";"12";"20";"12";"1"
"Caio Rosa";"7167";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"19";"1";"18";"20"
"Guilherme Pato";"7168";"1";"1";"1";"1";"1";"1";"1";"12";"1";"12";"16";"1";"20";"17"
"Youssef Amyn";"7169";"1";"1";"1";"10";"1";"8";"1";"12";"1";"13";"20";"17";"17";"1"
"Jaydon Banel";"7170";"1";"1";"1";"1";"1";"1";"1";"13";"10";"13";"20";"12";"18";"17"
"Alexandre Jankewitz";"7171";"1";"1";"1";"1";"1";"1";"15";"14";"20";"14";"14";"18";"14";"14"
"Mohamed El Arouch";"7172";"1";"1";"1";"1";"1";"1";"15";"1";"20";"1";"12";"16";"1";"1"
"Heron";"7173";"1";"17";"20";"1";"16";"1";"1";"8";"1";"1";"1";"1";"1";"1"
"Francisco Meixedo";"7174";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Patricio Tanda";"7175";"1";"1";"1";"1";"1";"1";"16";"14";"20";"12";"12";"16";"1";"1"
"Sidi Sané";"7176";"1";"1";"14";"10";"1";"12";"1";"12";"1";"18";"15";"10";"20";"14"
"Martin Turk";"7177";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Tim Oermann";"7178";"1";"1";"20";"10";"1";"1";"16";"1";"12";"1";"1";"1";"1";"1"
"Soumaïla Coulibaly";"7179";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Lennart Moser";"7180";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Lukáš Ambros";"7181";"1";"1";"1";"1";"1";"1";"1";"12";"18";"12";"14";"20";"14";"10"
"Dženan Pejčinović";"7182";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"14";"14";"14";"20"
"Ro-Zangelo Daal";"7183";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20";"15";"19";"15"
"Pierre Dwomoh";"7184";"1";"1";"1";"1";"1";"1";"1";"1";"20";"1";"1";"18";"12";"12"
"Yarden Shua";"7185";"1";"1";"1";"1";"1";"1";"1";"1";"1";"15";"17";"15";"15";"20"
"Livano Comenencia";"7186";"1";"16";"13";"19";"17";"17";"20";"1";"13";"1";"1";"1";"1";"1"
"Tomás Rambert";"7187";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20";"1";"1";"13"
"Duccio Degli Innocenti";"7188";"1";"1";"1";"1";"1";"1";"18";"1";"20";"1";"1";"1";"1";"1"
"Kwadwo Opoku";"7189";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"13";"8";"19";"20"
"Endrick";"7190";"1";"1";"1";"1";"1";"1";"1";"6";"5";"7";"13";"12";"16";"20"
"Jevon Simons";"7191";"1";"1";"1";"1";"1";"1";"1";"1";"13";"13";"1";"20";"19";"12"
"Alessio Riccardi";"7192";"1";"1";"1";"1";"1";"1";"12";"1";"20";"10";"1";"16";"10";"5"
"Mattia Zanotti";"7193";"1";"10";"1";"20";"1";"18";"1";"1";"1";"18";"1";"1";"1";"1"
"Jayden Candelaria";"7194";"1";"20";"17";"1";"18";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Nathan Young-Coombes";"7195";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"12";"13";"15";"20"
"Kamory Doumbia";"7196";"1";"1";"1";"1";"1";"1";"1";"1";"20";"1";"1";"18";"1";"15"
"Wang Dalei";"7197";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"5"
"Luciano";"7198";"1";"1";"1";"1";"1";"1";"17";"1";"20";"1";"1";"1";"1";"1"
"Yang Hyeon-Jun";"7199";"1";"1";"1";"1";"1";"1";"1";"1";"12";"1";"17";"20";"1";"12"
"Franz Stolz";"7200";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Carlos Álvarez";"7201";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"16";"16";"20";"16"
"Gabriël Misehouy";"7202";"1";"1";"1";"1";"1";"1";"12";"12";"20";"1";"12";"18";"1";"1"
"Lasse Günther";"7203";"1";"12";"1";"12";"12";"12";"1";"15";"1";"15";"18";"10";"20";"14"
"Michel";"7204";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Julen Jon Guerrero";"7205";"1";"1";"1";"1";"1";"1";"1";"1";"16";"1";"1";"20";"1";"1"
"Leon Schneider";"7206";"1";"1";"20";"15";"1";"10";"15";"1";"10";"1";"1";"1";"1";"1"
"Gabrijel Rukavina";"7207";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20";"1";"17";"15"
"Oscar Aga";"7208";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Luis Bilbao";"7209";"1";"1";"1";"1";"1";"1";"1";"19";"1";"1";"20";"1";"1";"15"
"Nebiyou Perry";"7210";"1";"7";"1";"7";"10";"10";"7";"15";"10";"15";"17";"15";"20";"14"
"Dário Essugo";"7211";"1";"1";"1";"1";"1";"1";"20";"1";"18";"1";"1";"1";"1";"1"
"Libasse Ngom";"7212";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20";"1";"16"
"Felix Bacher";"7213";"1";"1";"20";"1";"1";"1";"17";"1";"12";"1";"1";"1";"1";"1"
"Julien Duranville";"7214";"1";"1";"1";"1";"1";"1";"1";"14";"1";"12";"20";"1";"18";"12"
"Isah Ali";"7215";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Tomás Sives";"7216";"1";"1";"1";"1";"1";"1";"1";"1";"1";"10";"12";"20";"16";"12"
"Luke McCormick";"7217";"1";"1";"1";"1";"1";"1";"12";"6";"18";"1";"10";"20";"6";"1"
"Mohammed Galadima";"7218";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Jason van Duiven";"7219";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Vinicius Tobias";"7220";"1";"1";"1";"20";"1";"18";"1";"1";"1";"12";"1";"1";"12";"1"
"Rafael Luiz";"7221";"1";"1";"1";"18";"1";"20";"1";"1";"1";"18";"1";"1";"16";"1"
"Ben Voll";"7222";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Preslav Borukov";"7223";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Saúl Guarirapa";"7224";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"15";"1";"15";"20"
"Samed Baždar";"7225";"1";"1";"1";"1";"1";"1";"1";"12";"12";"12";"18";"16";"13";"20"
"Nikola Iliev";"7226";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"14";"20";"10";"18"
"Julián Kadijevic";"7227";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Akin Famewo";"7228";"1";"14";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Kim Yong-Hak";"7229";"1";"1";"1";"1";"1";"1";"1";"10";"10";"12";"15";"16";"20";"1"
"Aurèle Amenda";"7230";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Warren Bondo";"7231";"1";"1";"1";"1";"1";"1";"10";"13";"20";"13";"13";"15";"13";"1"
"Marco Bertini";"7232";"1";"1";"1";"1";"1";"1";"20";"1";"18";"1";"1";"12";"1";"1"
"Orri Steinn Óskarsson";"7233";"1";"1";"1";"1";"1";"1";"1";"10";"1";"15";"15";"1";"18";"20"
"João Pedro";"7234";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Matheus Nunes";"7235";"1";"1";"13";"1";"1";"1";"14";"1";"20";"1";"1";"1";"1";"1"
"Keke Topp";"7236";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Fran Pérez";"7237";"1";"1";"1";"1";"1";"1";"1";"14";"1";"18";"18";"1";"20";"11"
"Matteo Cardinali";"7238";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Mario Dorgeles";"7239";"1";"1";"1";"1";"1";"1";"20";"1";"20";"1";"1";"10";"1";"1"
"Álvaro Leiva";"7240";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"18";"20";"14";"16"
"Dennis Seimen";"7241";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Wanya Marçal-Madivádua";"7242";"1";"1";"1";"1";"14";"10";"1";"15";"18";"1";"15";"20";"14";"1"
"Marcel Ratnik";"7243";"1";"1";"20";"13";"1";"1";"12";"1";"10";"1";"1";"1";"1";"1"
"El Chadaille Bitshiabu";"7244";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Mateusz Łęgowski";"7245";"1";"1";"1";"1";"1";"1";"20";"1";"15";"1";"1";"10";"1";"1"
"Chrislain Matsima";"7246";"1";"1";"20";"14";"1";"12";"16";"1";"1";"1";"1";"1";"1";"1"
"Warren Zaïre-Emery";"7247";"1";"1";"1";"1";"1";"1";"20";"1";"18";"1";"1";"1";"1";"1"
"Tariq Uwakwe";"7248";"1";"14";"1";"1";"17";"1";"12";"14";"20";"14";"15";"15";"17";"1"
"Nicolò Armini";"7249";"1";"14";"20";"15";"12";"15";"1";"1";"1";"1";"1";"1";"1";"1"
"Filippo Mané";"7250";"1";"1";"20";"17";"1";"14";"12";"1";"1";"1";"1";"1";"1";"1"
"Leandro Quiroz";"7251";"1";"10";"20";"1";"5";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Andrii Buleza";"7252";"1";"20";"1";"10";"15";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Kobbie Mainoo";"7253";"1";"1";"1";"1";"1";"1";"18";"1";"20";"13";"1";"14";"1";"1"
"Jacopo Lipani";"7254";"1";"1";"1";"1";"1";"1";"20";"1";"18";"1";"1";"1";"1";"1"
"Samba Diallo";"7255";"1";"1";"1";"1";"1";"1";"1";"12";"1";"10";"20";"14";"15";"1"
"Arda Güler";"7256";"1";"1";"1";"1";"1";"1";"9";"9";"14";"9";"11";"20";"14";"12"
"Yannick Pandor";"7257";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Federico Bonini";"7258";"1";"18";"20";"1";"12";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Ashley Phillips";"7259";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Juan José Pérez";"7260";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"15";"18";"20";"1"
"Philip Gameli Awuku";"7261";"1";"14";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Joe Haigh";"7262";"1";"1";"1";"1";"6";"1";"1";"12";"12";"10";"20";"18";"18";"1"
"Irakly Manelov";"7263";"1";"1";"1";"10";"1";"1";"1";"1";"1";"13";"15";"1";"20";"15"
"Adrián Corral";"7264";"1";"20";"14";"1";"18";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Daniel Pedrozo";"7265";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Carlos Cantillo";"7266";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20";"1";"18";"1"
"Alessandro Burlamaqui";"7267";"1";"1";"1";"1";"1";"1";"12";"1";"20";"1";"1";"16";"1";"1"
"Thierry Small";"7268";"1";"20";"15";"1";"17";"1";"1";"14";"1";"1";"10";"1";"1";"1"
"Mateus Fernandes";"7269";"1";"1";"1";"1";"1";"1";"1";"1";"20";"1";"1";"18";"1";"1"
"Enis Destan";"7270";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Diego Almeida";"7271";"1";"1";"20";"1";"1";"1";"12";"1";"1";"1";"1";"1";"1";"10"
"Ángel Alarcón";"7272";"1";"1";"1";"1";"1";"1";"1";"17";"1";"17";"20";"12";"20";"17"
"William Mikelbrencis";"7273";"1";"1";"14";"20";"1";"18";"1";"1";"1";"13";"1";"1";"10";"1"
"Alejandro Iturbe";"7274";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Gláuber";"7275";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Burak İnce";"7276";"1";"1";"1";"1";"1";"1";"1";"12";"20";"1";"1";"19";"1";"1"
"Nazar Voloshyn";"7277";"1";"1";"1";"4";"1";"6";"1";"12";"1";"18";"17";"6";"20";"10"
"Joel Ordóñez";"7278";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Vladislav Shitov";"7279";"1";"1";"1";"1";"1";"1";"1";"1";"1";"7";"12";"10";"9";"20"
"Luke Mbete";"7280";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Artem Sokolov";"7281";"1";"1";"1";"1";"1";"1";"12";"15";"16";"10";"15";"20";"1";"13"
"Diego Moreira";"7282";"1";"1";"1";"1";"1";"1";"1";"14";"1";"12";"20";"1";"18";"10"
"Edouard Michut";"7283";"1";"1";"1";"1";"1";"1";"15";"1";"20";"1";"1";"12";"1";"1"
"Giorgi Abuashvili";"7284";"1";"1";"1";"1";"1";"1";"1";"1";"14";"1";"20";"17";"12";"14"
"Lewis Schouten";"7285";"1";"1";"13";"1";"1";"1";"20";"13";"20";"13";"1";"15";"1";"1"
"Emersonn";"7286";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20";"1";"17";"15"
"Hugo Bueno";"7287";"1";"15";"1";"1";"20";"1";"1";"1";"12";"1";"1";"1";"1";"1"
"Matheus Dias";"7288";"1";"1";"1";"1";"1";"1";"20";"1";"15";"1";"1";"1";"1";"1"
"Florent Da Silva";"7289";"1";"1";"1";"1";"1";"1";"14";"1";"19";"1";"12";"20";"1";"1"
