"Name(ocultar)";"Futbolista_ID";"Rendimiento en partidos importantes";"Lesiones";"Diversidad";"Adaptabilidad";"Ambición";"Razonamiento";"Lealtad";"Resistencia al estres";"Profesionalidad";"Deportividad";"Control emocional"
"Nicolás Demartini";"6627";"12";"7";"7";"13";"14";"4";"12";"10";"13";"7";"9"
"Luca D'Andrea";"6628";"13";"5";"12";"12";"14";"5";"13";"12";"14";"12";"13"
"Luca Gemello";"6629";"13";"10";"1";"10";"13";"7";"14";"12";"13";"14";"12"
"Franck Kanouté";"6630";"12";"9";"12";"12";"14";"10";"11";"12";"14";"13";"12"
"Niccolò Pierozzi";"6631";"12";"7";"17";"10";"14";"4";"13";"13";"15";"13";"13"
"Guy Mbenza";"6632";"19";"11";"15";"13";"14";"4";"8";"11";"12";"11";"12"
"Peer Koopmeiners";"6633";"12";"5";"8";"7";"13";"8";"10";"13";"16";"11";"13"
"Riccardo Ciervo";"6634";"11";"6";"13";"8";"9";"5";"11";"9";"11";"9";"16"
"Dorgéles Néné";"6635";"5";"13";"14";"7";"8";"7";"10";"11";"11";"11";"20"
"Bradley Barcola";"6636";"13";"7";"12";"11";"10";"8";"9";"13";"11";"13";"19"
"James Hill";"6637";"11";"5";"11";"12";"13";"4";"12";"13";"15";"15";"12"
"Hugo Vallejo";"6638";"4";"13";"14";"20";"15";"7";"8";"13";"12";"10";"10"
"Álvaro Núñez";"6639";"12";"6";"12";"20";"13";"2";"11";"10";"11";"12";"10"
"Marko Stamenić";"6640";"9";"7";"15";"16";"15";"5";"13";"13";"14";"12";"12"
"Pedro Brazão";"6641";"8";"5";"12";"11";"10";"7";"10";"12";"14";"10";"17"
"Dion Lopy";"6642";"11";"11";"7";"19";"11";"7";"10";"10";"11";"10";"17"
"Tomás Tavares";"6643";"5";"8";"14";"14";"13";"4";"14";"6";"14";"14";"15"
"Calvin Ramsay";"6644";"17";"12";"14";"8";"18";"3";"12";"12";"15";"10";"14"
"Tomás Esteves";"6645";"10";"7";"12";"8";"10";"7";"15";"8";"12";"12";"10"
"Álvaro Bastida";"6646";"14";"6";"15";"19";"10";"2";"12";"15";"11";"10";"15"
"Emrecan Uzunhan";"6647";"10";"7";"12";"7";"9";"4";"11";"9";"11";"10";"18"
"Jay Matete";"6648";"12";"12";"12";"16";"11";"6";"10";"13";"10";"10";"17"
"Rico Lewis";"6649";"17";"13";"16";"10";"8";"6";"14";"9";"16";"12";"15"
"Aziz Ouattara";"6650";"2";"6";"14";"14";"13";"5";"8";"12";"12";"10";"8"
"Danil Prutsev";"6651";"13";"10";"16";"19";"9";"4";"13";"11";"10";"11";"13"
"Fabio Blanco";"6652";"12";"13";"12";"8";"14";"8";"6";"14";"14";"12";"14"
"Dimitrije Kamenović";"6653";"12";"9";"11";"12";"13";"8";"12";"13";"13";"13";"12"
"Tommy Conway";"6654";"10";"4";"7";"5";"11";"3";"6";"6";"9";"7";"6"
"Nicolas Vouilloz";"6655";"13";"6";"8";"14";"11";"2";"13";"11";"11";"14";"12"
"Christopher Lungoyi";"6656";"8";"10";"12";"20";"13";"5";"5";"11";"8";"11";"17"
"Alex Mighten";"6657";"11";"5";"10";"9";"12";"6";"11";"12";"11";"11";"10"
"Arouna Sanganté";"6658";"10";"4";"12";"10";"12";"4";"14";"13";"15";"12";"10"
"Gabriel Vega";"6659";"6";"7";"17";"8";"12";"7";"13";"13";"11";"11";"12"
"Issa Soumaré";"6660";"13";"8";"12";"12";"11";"4";"12";"9";"12";"11";"18"
"Fares Chaïbi";"6661";"13";"7";"14";"14";"13";"7";"12";"12";"13";"7";"12"
"Billy Koumetio";"6662";"11";"7";"6";"12";"13";"8";"11";"11";"11";"10";"11"
"Christian Rasmussen";"6663";"8";"6";"14";"7";"11";"5";"11";"11";"14";"10";"19"
"Rafael Brito";"6664";"12";"10";"14";"12";"12";"6";"15";"13";"13";"14";"12"
"Tyias Browning";"6665";"8";"5";"10";"13";"12";"5";"8";"10";"13";"14";"18"
"Juan Cruz";"6666";"8";"11";"6";"10";"10";"8";"11";"9";"10";"12";"9"
"Mahmoud Gad";"6667";"12";"6";"11";"11";"14";"4";"10";"12";"15";"1";"11"
"Leighton Clarkson";"6668";"10";"7";"8";"12";"12";"4";"14";"12";"12";"10";"12"
"Germán Valera";"6669";"19";"12";"13";"10";"11";"7";"12";"11";"12";"13";"17"
"Matko Miljevic";"6670";"10";"5";"7";"19";"15";"2";"2";"12";"14";"10";"14"
"Carlos Dotor";"6671";"20";"8";"16";"11";"12";"3";"11";"11";"9";"10";"15"
"Oliver Dovin";"6672";"6";"8";"12";"13";"13";"6";"14";"14";"14";"14";"14"
"Martim Neto";"6673";"12";"5";"12";"14";"15";"6";"12";"14";"15";"15";"16"
"Nicholas Mickelson";"6674";"6";"6";"15";"15";"15";"8";"8";"12";"14";"12";"7"
"Martim Tavares";"6675";"14";"5";"12";"8";"12";"4";"10";"12";"9";"10";"10"
"Kacper Tobiasz";"6676";"15";"2";"12";"14";"12";"8";"18";"17";"16";"14";"10"
"Miguel Azeez";"6677";"11";"7";"7";"12";"12";"6";"11";"11";"12";"10";"11"
"Isak Jansson";"6678";"11";"5";"8";"15";"12";"2";"13";"13";"14";"15";"15"
"Martín Pascual";"6679";"9";"12";"16";"12";"12";"3";"14";"11";"13";"11";"16"
"Thomas Kastanaras";"6680";"14";"7";"7";"11";"14";"4";"15";"12";"15";"14";"15"
"Bautista Kociubinski";"6681";"11";"12";"8";"11";"12";"6";"10";"11";"11";"10";"12"
"Cristian Volpato";"6682";"11";"5";"10";"15";"12";"8";"9";"13";"13";"11";"12"
"Warren O'Hora";"6683";"10";"3";"4";"10";"11";"5";"8";"13";"14";"12";"10"
"Mathias Kvistgaarden";"6684";"14";"6";"11";"8";"12";"6";"13";"9";"12";"11";"18"
"Bradley Fink";"6685";"3";"5";"11";"9";"14";"8";"12";"13";"14";"11";"13"
"Giuseppe Di Serio";"6686";"12";"10";"9";"16";"14";"9";"14";"10";"14";"12";"13"
"Andrés Romero";"6687";"14";"9";"16";"11";"12";"8";"9";"11";"10";"11";"18"
"Jon Aramburu";"6688";"12";"7";"18";"17";"12";"1";"12";"11";"12";"13";"15"
"Ernest Poku";"6689";"10";"5";"12";"13";"8";"2";"7";"7";"6";"14";"18"
"Luke Woolfenden";"6690";"13";"6";"17";"10";"8";"7";"10";"13";"10";"9";"15"
"Christian Cappis";"6691";"11";"5";"12";"11";"11";"8";"8";"14";"12";"12";"18"
"Brian Oddei";"6692";"13";"3";"12";"14";"14";"9";"9";"13";"14";"12";"11"
"Robert Wagner";"6693";"12";"3";"12";"13";"14";"10";"13";"11";"10";"12";"10"
"Haissem Hassan";"6694";"8";"12";"13";"13";"11";"1";"9";"10";"12";"13";"13"
"Eguinaldo";"6695";"9";"9";"9";"9";"12";"5";"11";"10";"9";"9";"13"
"Ekanit Panya";"6696";"13";"8";"7";"14";"13";"3";"11";"12";"13";"16";"12"
"Louie Sibley";"6697";"9";"9";"12";"11";"14";"7";"18";"13";"10";"8";"9"
"Nikola Stanković";"6698";"12";"10";"13";"12";"13";"9";"11";"11";"12";"11";"10"
"Muhammed Damar";"6699";"7";"5";"12";"11";"15";"7";"8";"12";"13";"12";"12"
"Mamady Diambou";"6700";"16";"5";"15";"14";"15";"7";"13";"11";"10";"11";"16"
"Nikola Soldo";"6701";"12";"8";"14";"8";"13";"5";"12";"13";"14";"13";"14"
"John Kennedy";"6702";"16";"9";"13";"20";"13";"14";"11";"12";"5";"7";"12"
"Ki-Jana Hoever";"6703";"12";"7";"13";"12";"15";"9";"10";"14";"12";"10";"14"
"Sávio";"6704";"14";"8";"12";"10";"13";"2";"11";"15";"12";"10";"10"
"Mattie Pollock";"6705";"12";"10";"4";"9";"12";"5";"11";"9";"10";"13";"14"
"Zeno Debast";"6706";"12";"11";"10";"10";"14";"4";"11";"12";"11";"13";"20"
"Patrick Vroegh";"6707";"12";"8";"16";"19";"11";"8";"11";"12";"12";"10";"17"
"Kian Fitz-Jim";"6708";"17";"4";"15";"12";"11";"9";"11";"11";"11";"11";"10"
"Raymundo Fulgencio";"6709";"10";"7";"10";"11";"10";"12";"10";"8";"7";"11";"7"
"Akinkunmi Amoo";"6710";"4";"13";"6";"16";"13";"8";"12";"13";"13";"14";"14"
"Kevin Yakob";"6711";"7";"13";"11";"13";"13";"6";"12";"12";"12";"12";"8"
"Tobias Gulliksen";"6712";"13";"5";"7";"12";"16";"7";"10";"15";"17";"12";"10"
"Agustín Lagos";"6713";"14";"10";"17";"14";"11";"7";"13";"12";"10";"12";"17"
"Oh Hyeon-Gyu";"6714";"10";"14";"11";"20";"13";"7";"12";"10";"11";"12";"20"
"John Tolkin";"6715";"8";"10";"9";"18";"14";"10";"11";"10";"11";"10";"18"
"Roko Šimić";"6716";"13";"6";"9";"16";"16";"5";"12";"13";"13";"10";"9"
"Désiré Doué";"6717";"9";"4";"7";"13";"15";"5";"16";"10";"14";"14";"18"
"Mootez Zaddem";"6718";"9";"8";"13";"13";"15";"2";"12";"12";"10";"10";"11"
"Hayden Carter";"6719";"11";"6";"14";"8";"8";"4";"10";"12";"12";"11";"8"
"Hans Nicolussi Caviglia";"6720";"11";"13";"13";"10";"13";"1";"13";"9";"13";"11";"8"
"Amine Salama";"6721";"10";"5";"12";"18";"14";"6";"11";"13";"12";"12";"10"
"Erik López";"6722";"9";"13";"12";"16";"10";"3";"12";"12";"7";"7";"10"
"Lucas Román";"6723";"9";"9";"12";"10";"11";"6";"12";"8";"14";"11";"10"
"Franco Carboni";"6724";"11";"5";"16";"13";"13";"6";"13";"9";"12";"10";"20"
"Henrik Heggheim";"6725";"8";"10";"10";"13";"14";"6";"11";"12";"13";"13";"12"
"Baltazar";"6726";"8";"7";"12";"16";"12";"2";"12";"12";"12";"13";"13"
"Abderrahim Deghmoum";"6727";"14";"5";"11";"16";"10";"5";"9";"10";"13";"10";"13"
"Matthew Smith";"6728";"2";"10";"10";"17";"10";"4";"10";"9";"11";"9";"12"
"Pedro Vite";"6729";"19";"5";"15";"20";"12";"2";"10";"14";"13";"10";"11"
"Charles Abi";"6730";"13";"9";"10";"15";"11";"3";"12";"10";"10";"14";"13"
"Filip Bundgaard";"6731";"14";"3";"10";"20";"11";"7";"15";"12";"13";"9";"10"
"Garang Kuol";"6732";"13";"14";"11";"10";"16";"7";"9";"9";"9";"12";"12"
"Pedro Delgado";"6733";"10";"4";"12";"8";"11";"5";"8";"11";"14";"11";"13"
"Pedrinho";"6734";"15";"6";"16";"14";"10";"1";"10";"14";"8";"12";"13"
"Emmanuel Gyabuaa";"6735";"13";"5";"12";"14";"15";"11";"12";"13";"14";"12";"9"
"Marlon Gomes";"6736";"13";"7";"11";"12";"11";"3";"10";"14";"9";"9";"17"
"Khalid Al-Ghannam";"6737";"18";"5";"13";"11";"12";"5";"11";"11";"9";"12";"15"
"Miguel Maga";"6738";"10";"10";"10";"18";"11";"8";"13";"10";"13";"12";"17"
"Torben Rhein";"6739";"12";"9";"12";"7";"13";"6";"14";"10";"14";"14";"16"
"Jean N'Guessan";"6740";"13";"5";"6";"15";"9";"2";"13";"10";"13";"12";"14"
"Karim Konaté";"6741";"11";"7";"7";"20";"13";"3";"12";"11";"10";"10";"14"
"Aune Heggebø";"6742";"13";"11";"6";"11";"10";"6";"15";"15";"12";"11";"12"
"Bernardo Folha";"6743";"13";"5";"10";"7";"14";"6";"10";"14";"13";"11";"20"
"Fredrik Oppegård";"6744";"10";"13";"12";"9";"10";"8";"12";"13";"9";"11";"13"
"Mateo Sanabria";"6745";"14";"12";"12";"19";"11";"3";"10";"12";"12";"12";"20"
"Łukasz Poręba";"6746";"17";"15";"16";"14";"14";"6";"13";"12";"13";"12";"14"
"Nilson Angulo";"6747";"12";"9";"10";"7";"9";"5";"11";"11";"10";"11";"14"
"Kristian Arnstad";"6748";"11";"10";"10";"14";"13";"2";"10";"11";"14";"11";"15"
"Samuel Soares";"6749";"7";"5";"12";"12";"12";"7";"12";"14";"14";"14";"5"
"Till Cissokho";"6750";"13";"10";"9";"20";"12";"8";"10";"7";"13";"12";"14"
"Samuele Vignato";"6751";"12";"7";"12";"12";"12";"8";"11";"12";"12";"12";"12"
"Maissa Ndiaye";"6752";"13";"4";"7";"13";"11";"7";"8";"10";"10";"5";"6"
"Marcelino Carreazo";"6753";"12";"14";"9";"12";"10";"1";"13";"11";"10";"10";"17"
"Trilli";"6754";"7";"6";"14";"12";"14";"3";"14";"12";"14";"13";"16"
"Ernest Muçi";"6755";"11";"3";"12";"7";"12";"2";"8";"9";"13";"10";"10"
"Jhon Durán";"6756";"11";"12";"14";"11";"10";"16";"8";"12";"10";"8";"12"
"Gonçalo Cardoso";"6757";"10";"13";"9";"20";"14";"6";"11";"11";"16";"15";"11"
"Alberto Quintana";"6758";"14";"11";"19";"17";"15";"7";"10";"10";"16";"10";"11"
"Daniel Jebbison";"6759";"10";"10";"10";"13";"9";"6";"13";"11";"9";"9";"11"
"Amourricho van Axel Dongen";"6760";"11";"13";"10";"16";"12";"8";"12";"11";"11";"11";"10"
"Aleksander Buksa";"6761";"10";"10";"12";"12";"14";"13";"7";"13";"10";"14";"17"
"Kegan Johannes";"6762";"5";"5";"12";"15";"12";"2";"10";"11";"10";"12";"18"
"Mario Stroeykens";"6763";"14";"13";"14";"19";"14";"2";"12";"11";"11";"13";"14"
"Karim Dermane";"6764";"8";"10";"12";"17";"13";"4";"14";"9";"12";"14";"16"
"Vladyslav Vanat";"6765";"10";"8";"8";"5";"8";"2";"15";"12";"12";"11";"11"
"Yasin Salmani";"6766";"11";"10";"15";"15";"10";"5";"11";"11";"10";"10";"16"
"Carlos Olses";"6767";"10";"16";"12";"13";"12";"7";"12";"13";"11";"12";"12"
"Cole Bassett";"6768";"12";"3";"11";"9";"11";"3";"12";"10";"14";"12";"15"
"Haydon Roberts";"6769";"11";"7";"14";"15";"14";"4";"9";"11";"16";"11";"16"
"Cade Cowell";"6770";"11";"8";"11";"11";"13";"2";"11";"8";"10";"13";"10"
"Gabriel Słonina";"6771";"19";"8";"13";"17";"18";"2";"18";"19";"18";"17";"17"
"Thiaguinho";"6772";"13";"9";"15";"16";"11";"4";"11";"11";"14";"7";"12"
"Matěj Kovář";"6773";"18";"3";"14";"17";"12";"7";"11";"11";"12";"10";"12"
"Armindo Sieb";"6774";"8";"8";"13";"11";"16";"10";"8";"12";"8";"10";"12"
"Kerwin Vargas";"6775";"10";"5";"13";"13";"12";"5";"10";"11";"12";"13";"10"
"Mika Biereth";"6776";"13";"5";"13";"16";"11";"7";"12";"10";"13";"11";"15"
"Svetoslav Vutsov";"6777";"13";"7";"11";"10";"13";"8";"13";"10";"12";"10";"9"
"Anthony Valencia";"6778";"13";"11";"13";"8";"10";"4";"11";"10";"9";"11";"19"
"Beni Makouana";"6779";"9";"11";"10";"13";"12";"8";"9";"13";"14";"14";"12"
"Nicolò Tresoldi";"6780";"12";"3";"8";"13";"16";"4";"13";"13";"15";"12";"12"
"Lewis Dobbin";"6781";"13";"8";"14";"19";"12";"7";"14";"11";"12";"13";"14"
"Carlos Vivas";"6782";"13";"15";"13";"17";"10";"6";"10";"12";"13";"12";"15"
"Oscar Schwartau";"6783";"4";"5";"9";"18";"16";"4";"14";"10";"10";"14";"15"
"Festy Ebosele";"6784";"10";"11";"12";"15";"16";"11";"12";"12";"9";"8";"11"
"Carl Rushworth";"6785";"7";"11";"12";"18";"12";"2";"12";"11";"9";"10";"15"
"Tymur Puzankov";"6786";"9";"7";"1";"5";"8";"5";"20";"9";"15";"14";"5"
"Anthony Patterson";"6787";"11";"8";"13";"14";"12";"4";"11";"10";"10";"12";"14"
"Dhoraso Klas";"6788";"3";"8";"15";"17";"10";"6";"9";"11";"11";"11";"11"
"Romano Postema";"6789";"9";"6";"12";"8";"13";"2";"10";"11";"13";"8";"20"
"Bjorn Meijer";"6790";"4";"5";"11";"17";"11";"4";"11";"10";"9";"12";"15"
"Mimeirhel Benita";"6791";"15";"8";"15";"16";"12";"5";"13";"11";"11";"13";"15"
"Palkó Dárdai";"6792";"13";"9";"14";"10";"13";"5";"15";"12";"14";"16";"12"
"Jakub Stolarczyk";"6793";"5";"6";"15";"19";"11";"3";"11";"11";"12";"9";"15"
"Rhys Williams";"6794";"12";"6";"6";"12";"14";"4";"14";"10";"14";"10";"10"
"Isaak Davies";"6795";"10";"11";"11";"14";"9";"7";"9";"11";"12";"11";"13"
"Jonathan González";"6796";"3";"12";"15";"14";"15";"7";"10";"10";"11";"11";"16"
"Kai Cipot";"6797";"14";"7";"12";"12";"11";"5";"13";"12";"11";"12";"11"
"Samson Baidoo";"6798";"7";"6";"13";"11";"14";"8";"13";"13";"14";"11";"10"
"Santiago Castro";"6799";"9";"5";"12";"13";"9";"4";"10";"11";"10";"7";"13"
"Mateo Seoane";"6800";"6";"6";"12";"7";"11";"3";"11";"13";"13";"12";"10"
"Myles Peart-Harris";"6801";"12";"3";"14";"13";"12";"4";"10";"11";"11";"11";"12"
"Miloš Drinčić";"6802";"13";"7";"15";"18";"11";"7";"13";"10";"13";"12";"13"
"Erik Shuranov";"6803";"13";"9";"8";"11";"12";"2";"11";"13";"12";"9";"16"
"Artem Karpukas";"6804";"7";"9";"7";"14";"13";"2";"11";"13";"15";"10";"17"
"Cem Türkmen";"6805";"19";"11";"13";"9";"10";"1";"13";"12";"8";"11";"12"
"Rocco Reitz";"6806";"11";"7";"10";"10";"12";"4";"14";"9";"12";"10";"9"
"Fernando Henrique";"6807";"4";"4";"14";"14";"13";"4";"13";"12";"13";"10";"11"
"David Romero";"6808";"12";"11";"11";"16";"11";"3";"11";"13";"11";"10";"14"
"Noel López";"6809";"7";"11";"10";"18";"13";"6";"11";"11";"13";"12";"10"
"Luke Cundle";"6810";"14";"10";"11";"9";"12";"6";"11";"11";"11";"10";"10"
"Rafa Marín";"6811";"9";"7";"7";"8";"12";"4";"11";"9";"11";"12";"14"
"Arthur Sousa";"6812";"7";"11";"11";"19";"13";"6";"12";"11";"10";"11";"15"
"Hákon Rafn Valdimarsson";"6813";"12";"5";"10";"14";"12";"5";"10";"14";"12";"15";"15"
"Ivonei";"6814";"9";"10";"12";"18";"11";"1";"13";"14";"11";"13";"10"
"Sava Čestić";"6815";"12";"14";"8";"12";"13";"7";"13";"14";"13";"13";"13"
"Pablo Minissale";"6816";"18";"6";"17";"10";"12";"4";"11";"14";"11";"11";"15"
"Igor Jesus";"6817";"14";"6";"10";"14";"11";"4";"13";"13";"13";"8";"12"
"Amane Romeo";"6818";"9";"5";"8";"13";"13";"5";"9";"10";"12";"12";"12"
"Mark Zabukovnik";"6819";"6";"5";"16";"12";"11";"5";"10";"11";"13";"11";"12"
"Kwame Poku";"6820";"10";"4";"13";"12";"15";"5";"5";"11";"10";"10";"5"
"Andrea Ghion";"6821";"11";"6";"10";"11";"9";"6";"9";"10";"10";"8";"10"
"Tom Lacoux";"6822";"13";"6";"12";"12";"14";"8";"14";"14";"15";"12";"8"
"Myron van Brederode";"6823";"13";"5";"8";"13";"14";"6";"7";"11";"13";"11";"20"
"Ilyes Hamache";"6824";"11";"13";"12";"8";"12";"1";"11";"11";"10";"13";"11"
"Fedde de Jong";"6825";"10";"4";"5";"12";"12";"7";"13";"14";"7";"12";"16"
"Kang Hyun-Muk";"6826";"19";"12";"13";"18";"13";"7";"8";"11";"10";"13";"13"
"Formose Mendy";"6827";"10";"12";"8";"12";"12";"6";"12";"12";"13";"11";"10"
"Giovane";"6828";"14";"8";"11";"17";"12";"6";"12";"9";"11";"10";"17"
"Alexander Sosa";"6829";"9";"9";"10";"14";"8";"4";"10";"10";"12";"11";"19"
"Luka Gagnidze";"6830";"10";"8";"13";"7";"13";"7";"10";"10";"10";"14";"15"
"Luke Fleurs";"6831";"3";"7";"14";"12";"13";"3";"15";"12";"10";"12";"10"
"Julián Romero";"6832";"7";"12";"10";"13";"11";"7";"11";"11";"11";"12";"12"
"Adam Karabec";"6833";"13";"8";"10";"11";"14";"5";"9";"10";"13";"13";"10"
"Quinn Sullivan";"6834";"8";"9";"11";"13";"8";"3";"12";"12";"9";"11";"12"
"Sem Westerveld";"6835";"8";"13";"14";"11";"12";"3";"11";"12";"12";"10";"14"
"Ben Bobzien";"6836";"2";"4";"13";"8";"14";"2";"15";"12";"16";"12";"12"
"Isaac Tshibangu";"6837";"4";"9";"10";"8";"14";"2";"12";"13";"9";"15";"14"
"Miguel Silveira";"6838";"11";"5";"12";"14";"11";"3";"9";"10";"12";"6";"19"
"Daniil Khudyakov";"6839";"19";"9";"13";"18";"8";"8";"12";"10";"8";"12";"13"
"Vincent Müller";"6840";"18";"13";"11";"7";"13";"7";"13";"13";"13";"13";"13"
"Alex Lowry";"6841";"4";"8";"7";"18";"12";"5";"11";"15";"12";"10";"11"
"Laurenz Dehl";"6842";"11";"8";"8";"16";"12";"4";"12";"11";"11";"9";"14"
"Vyacheslav Litvinov";"6843";"11";"11";"16";"10";"12";"2";"11";"9";"9";"11";"17"
"Sean McGurk";"6844";"12";"12";"12";"12";"13";"11";"10";"11";"11";"8";"8"
"Suphanat Mueanta";"6845";"13";"9";"10";"14";"15";"4";"14";"13";"15";"16";"13"
"Garcia";"6846";"6";"12";"17";"16";"12";"1";"12";"13";"11";"11";"20"
"Luca Philipp";"6847";"11";"5";"12";"13";"13";"2";"11";"9";"13";"10";"10"
"Franco Tongya";"6848";"14";"5";"18";"14";"16";"10";"12";"14";"16";"15";"14"
"Kostiantyn Vivcharenko";"6849";"12";"6";"14";"14";"12";"7";"12";"9";"12";"10";"16"
"Isaak Touré";"6850";"13";"16";"10";"12";"13";"5";"10";"14";"13";"12";"11"
"Aidan Morris";"6851";"11";"7";"11";"17";"9";"6";"10";"13";"13";"10";"16"
"Karl Jakob Hein";"6852";"17";"12";"14";"16";"8";"4";"12";"11";"10";"11";"14"
"Werik Popó";"6853";"16";"8";"11";"8";"10";"5";"10";"9";"12";"11";"18"
"Robert Popa";"6854";"13";"2";"9";"13";"13";"5";"12";"14";"12";"11";"9"
"David Kalokoh";"6855";"11";"11";"10";"18";"12";"10";"11";"11";"9";"10";"11"
"Enis Fazlagic";"6856";"13";"5";"14";"11";"10";"7";"12";"9";"12";"10";"10"
"Bohdan Viunnyk";"6857";"9";"9";"8";"7";"6";"5";"20";"9";"15";"11";"7"
"Alan Matturro";"6858";"16";"12";"14";"13";"11";"3";"13";"10";"9";"12";"20"
"Kristers Tobers";"6859";"12";"9";"12";"20";"12";"2";"14";"11";"12";"13";"16"
"Darío Sarmiento";"6860";"16";"13";"11";"12";"11";"4";"10";"12";"9";"10";"19"
"Ole Martin Kolskogen";"6861";"9";"4";"5";"11";"12";"5";"9";"13";"13";"11";"13"
"Rwan";"6862";"20";"5";"14";"10";"11";"7";"12";"12";"10";"12";"16"
"Daniel Samek";"6863";"9";"12";"9";"18";"10";"6";"13";"12";"10";"10";"11"
"Óscar Aranda";"6864";"11";"5";"12";"14";"12";"7";"13";"10";"12";"13";"15"
"Lazar Mijović";"6865";"12";"14";"14";"11";"11";"1";"11";"12";"12";"11";"12"
"Rami Al Hajj";"6866";"9";"5";"15";"7";"11";"4";"10";"12";"10";"9";"16"
"Dušan Stojinović";"6867";"3";"13";"17";"15";"13";"8";"8";"11";"11";"7";"15"
"Josh Wilson-Esbrand";"6868";"14";"6";"13";"20";"12";"4";"9";"13";"11";"10";"19"
"Jerónimo Pourtau";"6869";"15";"11";"14";"13";"8";"7";"9";"11";"11";"13";"11"
"Berke Özer";"6870";"10";"6";"10";"14";"13";"11";"8";"10";"11";"12";"14"
"Jordan James";"6871";"10";"5";"11";"10";"11";"6";"10";"12";"14";"13";"14"
"Isak Määttä";"6872";"10";"8";"14";"19";"14";"6";"13";"11";"12";"13";"10"
"Cher Ndour";"6873";"10";"4";"12";"12";"14";"11";"7";"13";"13";"12";"10"
"Camilo Mena";"6874";"10";"5";"10";"12";"10";"4";"13";"10";"11";"10";"11"
"Kryštof Daněk";"6875";"12";"14";"10";"12";"12";"7";"8";"10";"11";"10";"14"
"Filip Stanković";"6876";"16";"15";"14";"8";"13";"3";"13";"10";"13";"12";"19"
"Matheus Cadorini";"6877";"4";"4";"13";"12";"13";"2";"14";"12";"13";"11";"12"
"Mark Mampassi";"6878";"9";"9";"7";"4";"18";"11";"4";"11";"9";"9";"13"
"Nemanja Motika";"6879";"14";"6";"13";"14";"16";"15";"10";"12";"7";"10";"10"
"Nathan Harriel";"6880";"10";"7";"17";"17";"12";"1";"14";"10";"11";"12";"16"
"Dilan Markanday";"6881";"9";"5";"12";"16";"12";"4";"12";"9";"11";"7";"19"
"Thierry Lutonda";"6882";"11";"13";"14";"7";"14";"6";"11";"11";"12";"11";"16"
"Jack Vale";"6883";"12";"7";"12";"10";"11";"4";"12";"11";"14";"10";"12"
"Fisayo Dele-Bashiru";"6884";"9";"5";"10";"10";"14";"7";"10";"12";"15";"9";"9"
"Thiago";"6885";"10";"12";"10";"19";"11";"6";"8";"11";"11";"10";"10"
"Fabinho";"6886";"14";"6";"13";"9";"9";"6";"9";"13";"13";"12";"12"
"Santiago Muñoz";"6887";"9";"7";"12";"19";"11";"3";"15";"11";"11";"12";"20"
"Pedro Milans";"6888";"12";"9";"15";"11";"10";"6";"10";"12";"10";"11";"17"
"Jewison Bennette";"6889";"6";"11";"15";"18";"13";"5";"9";"12";"13";"5";"16"
"Frederik Winther";"6890";"11";"4";"9";"8";"10";"5";"15";"12";"12";"12";"15"
"Bright Arrey-Mbi";"6891";"9";"6";"10";"12";"13";"11";"8";"10";"12";"9";"8"
"Xavier Simons";"6892";"4";"10";"14";"16";"12";"3";"12";"10";"11";"14";"18"
"Flávio Nazinho";"6893";"13";"5";"12";"20";"13";"3";"11";"9";"11";"12";"16"
"Juan Cruz Cerrudo";"6894";"12";"5";"13";"14";"9";"6";"8";"8";"10";"10";"10"
"Manu Silva";"6895";"10";"10";"8";"15";"13";"5";"15";"12";"17";"15";"18"
"Valdemar Lund Jensen";"6896";"14";"9";"4";"17";"14";"8";"15";"15";"14";"11";"10"
"Alfie Devine";"6897";"11";"10";"11";"18";"10";"6";"11";"15";"13";"8";"8"
"Roony Bardghji";"6898";"19";"13";"14";"14";"17";"2";"10";"15";"15";"15";"13"
"Vasco Sousa";"6899";"10";"7";"6";"20";"11";"6";"13";"14";"10";"9";"14"
"Onurhan Babuşcu";"6900";"6";"7";"8";"11";"16";"3";"10";"10";"11";"11";"12"
"Eren Dinkci";"6901";"12";"13";"13";"15";"10";"3";"11";"11";"11";"12";"17"
"Danny Leyva";"6902";"10";"5";"4";"7";"12";"4";"8";"12";"14";"8";"7"
"Daniel Fila";"6903";"6";"6";"10";"9";"12";"8";"10";"13";"12";"14";"20"
"Anton Eriksson";"6904";"9";"9";"14";"16";"13";"2";"11";"14";"14";"15";"15"
"Antonio Foti";"6905";"12";"5";"15";"12";"14";"6";"9";"11";"11";"12";"13"
"Noah Sadiki";"6906";"10";"7";"18";"10";"11";"4";"13";"13";"10";"12";"16"
"Kirill Schetinin";"6907";"9";"12";"13";"11";"13";"3";"12";"12";"15";"14";"18"
"Léo Borges";"6908";"11";"5";"1";"12";"12";"3";"11";"11";"12";"10";"11"
"Alan Virginius";"6909";"12";"7";"12";"18";"11";"10";"11";"11";"13";"13";"10"
"Edoardo Vergani";"6910";"12";"10";"8";"13";"14";"10";"10";"13";"12";"14";"9"
"Gustavo Puerta";"6911";"11";"6";"14";"15";"11";"2";"10";"12";"11";"12";"20"
"Anselmo García McNulty";"6912";"13";"5";"10";"16";"15";"7";"8";"13";"15";"16";"14"
"Abdoullah Ba";"6913";"14";"10";"8";"14";"14";"13";"8";"7";"8";"10";"15"
"Evan Ferguson";"6914";"17";"5";"10";"14";"11";"2";"11";"10";"11";"12";"12"
