"Name(ocultar)";"Futbolista_ID";"Corners";"Pases precisos";"Regate";"Finalizar";"Primer toque";"Lanzamiento de faltas";"Cabezazo";"Disparos a distancia";"Pases largos";"Marcaje";"Pases";"Lanzamiento de penalti";"Choque";"Tecnica";"Agresividad";"Anticipación";"Sacrificio";"Serenidad";"Concentración";"Visión";"Decisión";"Determinación";"Creatividad";"Liderazgo";"Juego sin balón";"Posición secundaria";"Trabajo en equipo";"Intensidad de trabajo";"Aceleración";"Agilidad";"Balance";"Salto vertical";"Estado físico";"Velocidad maxima en carrera";"Cardio";"Fuerza";"Estabilidad";"Faltas"
"Filip Kaloč";"6093";"7";"11";"12";"10";"12";"6";"9";"14";"5";"12";"13";"8";"12";"12";"15";"12";"14";"12";"10";"12";"11";"11";"8";"11";"11";"12";"13";"14";"12";"11";"14";"12";"14";"12";"14";"14";"9";"11"
"Martín Luciano";"6094";"11";"12";"11";"7";"13";"6";"5";"8";"13";"12";"13";"8";"13";"12";"10";"12";"11";"12";"12";"12";"12";"14";"11";"10";"13";"11";"13";"13";"14";"14";"12";"8";"13";"14";"13";"11";"20";"6"
"Arthur Chaves";"6095";"4";"6";"10";"8";"9";"3";"14";"8";"6";"13";"11";"10";"13";"9";"13";"14";"12";"11";"13";"8";"13";"2";"5";"9";"8";"13";"14";"12";"14";"10";"11";"14";"15";"13";"14";"14";"15";"13"
"Ibrahim Sadiq";"6096";"9";"11";"13";"10";"13";"9";"4";"11";"7";"4";"12";"11";"7";"13";"13";"12";"12";"12";"12";"10";"12";"12";"12";"6";"13";"7";"13";"13";"16";"12";"8";"6";"11";"15";"12";"8";"12";"12"
"Gabriel Pereira";"6097";"11";"11";"15";"13";"14";"10";"6";"11";"4";"4";"14";"9";"3";"14";"5";"11";"6";"11";"11";"14";"12";"8";"15";"6";"14";"6";"13";"10";"15";"15";"12";"9";"12";"14";"13";"7";"8";"8"
"Matheus Martins";"6098";"7";"12";"14";"11";"12";"7";"6";"8";"6";"6";"13";"6";"6";"13";"9";"11";"10";"11";"11";"13";"11";"2";"12";"2";"13";"6";"12";"11";"14";"13";"11";"9";"13";"13";"11";"9";"11";"7"
"José Córdoba";"6099";"8";"9";"10";"7";"10";"9";"12";"10";"13";"11";"12";"11";"14";"11";"15";"12";"14";"11";"11";"10";"10";"15";"6";"11";"9";"11";"13";"12";"12";"10";"13";"15";"17";"15";"14";"16";"11";"8"
"Kévin Cabral";"6100";"10";"11";"14";"12";"13";"11";"8";"9";"5";"7";"11";"6";"7";"13";"10";"11";"10";"13";"11";"10";"11";"11";"12";"8";"13";"7";"10";"12";"15";"13";"12";"12";"13";"14";"13";"10";"12";"12"
"Ismaïla Coulibaly";"6101";"8";"9";"13";"11";"12";"7";"8";"11";"4";"6";"11";"9";"6";"13";"7";"13";"7";"12";"10";"9";"11";"4";"11";"5";"13";"11";"14";"13";"15";"13";"12";"11";"10";"14";"12";"11";"9";"6"
"Mattéo Tramoni";"6102";"10";"11";"13";"13";"14";"9";"6";"9";"8";"8";"12";"9";"8";"14";"10";"10";"10";"12";"12";"13";"10";"11";"12";"6";"15";"11";"14";"12";"14";"14";"10";"6";"12";"13";"12";"10";"12";"6"
"Peru Nolaskoain";"6103";"7";"7";"13";"9";"12";"7";"13";"11";"7";"12";"12";"8";"13";"12";"11";"11";"12";"11";"11";"12";"11";"13";"9";"12";"7";"12";"14";"14";"12";"13";"8";"12";"14";"13";"13";"14";"11";"8"
"Jakub Kadák";"6104";"11";"12";"15";"14";"12";"11";"6";"15";"10";"6";"13";"8";"5";"14";"9";"15";"7";"13";"11";"14";"12";"14";"11";"14";"12";"7";"11";"13";"11";"8";"7";"8";"15";"10";"11";"9";"12";"14"
"Anthony Racioppi";"6105";"2";"1";"2";"1";"12";"2";"7";"1";"3";"1";"12";"3";"2";"12";"7";"12";"13";"12";"10";"10";"11";"14";"2";"11";"4";"12";"10";"10";"11";"13";"11";"13";"14";"11";"11";"11";"12";"6"
"Ignacio Saavedra";"6106";"6";"8";"12";"6";"13";"5";"8";"6";"4";"12";"14";"5";"12";"13";"13";"13";"15";"12";"14";"13";"14";"12";"11";"10";"8";"13";"15";"14";"11";"13";"13";"8";"14";"11";"13";"10";"14";"8"
"Evann Guessand";"6107";"5";"8";"13";"13";"13";"6";"11";"9";"4";"5";"11";"7";"6";"13";"12";"12";"14";"11";"10";"12";"12";"15";"14";"5";"14";"8";"12";"12";"13";"13";"15";"14";"15";"14";"14";"14";"11";"7"
"Georges Mikautadze";"6108";"12";"10";"13";"13";"13";"13";"7";"12";"6";"6";"12";"15";"6";"13";"12";"12";"13";"13";"12";"12";"13";"11";"12";"8";"10";"6";"12";"12";"14";"13";"12";"8";"13";"13";"12";"8";"12";"9"
"Nikola Terzić";"6109";"10";"11";"12";"12";"11";"9";"8";"13";"11";"9";"12";"6";"11";"12";"10";"12";"11";"13";"10";"13";"12";"11";"13";"12";"12";"12";"13";"15";"12";"12";"11";"11";"12";"12";"11";"10";"13";"14"
"Žan Zaletel";"6110";"8";"7";"7";"5";"11";"8";"13";"7";"6";"13";"10";"5";"13";"9";"13";"11";"12";"12";"13";"9";"13";"11";"6";"14";"10";"12";"11";"12";"10";"12";"13";"12";"15";"10";"13";"14";"14";"11"
"Nathan Ferguson";"6111";"7";"10";"12";"6";"12";"4";"12";"8";"8";"13";"11";"9";"14";"12";"11";"13";"12";"10";"12";"9";"11";"12";"9";"8";"11";"13";"12";"11";"13";"12";"13";"11";"8";"12";"12";"14";"10";"5"
"Romano Schmid";"6112";"9";"13";"13";"8";"13";"9";"4";"11";"5";"6";"14";"9";"7";"14";"6";"12";"11";"11";"11";"12";"12";"15";"13";"7";"14";"11";"13";"13";"14";"14";"10";"7";"12";"13";"11";"6";"10";"6"
"Thierno Baldé";"6113";"7";"12";"11";"7";"12";"7";"11";"8";"8";"12";"12";"8";"12";"11";"10";"11";"12";"11";"10";"10";"11";"14";"9";"8";"10";"12";"12";"11";"15";"13";"12";"11";"13";"16";"12";"12";"12";"8"
"Natanael";"6114";"10";"12";"12";"8";"12";"10";"9";"7";"11";"12";"12";"10";"12";"12";"11";"12";"13";"11";"12";"12";"12";"13";"11";"8";"12";"11";"13";"13";"14";"15";"10";"8";"14";"14";"14";"6";"13";"10"
"Juan Gauto";"6115";"11";"10";"13";"10";"12";"10";"5";"12";"4";"5";"11";"5";"5";"12";"11";"11";"10";"13";"11";"12";"13";"5";"9";"12";"15";"10";"11";"12";"14";"14";"7";"6";"13";"14";"13";"5";"12";"9"
"Markus Solbakken";"6116";"13";"12";"11";"7";"13";"11";"9";"11";"6";"10";"14";"9";"10";"14";"10";"13";"9";"15";"13";"13";"13";"14";"13";"10";"11";"13";"14";"14";"12";"11";"10";"11";"12";"11";"12";"9";"13";"11"
"Mateo Tanlongo";"6117";"11";"10";"12";"10";"13";"10";"10";"10";"10";"11";"13";"7";"11";"13";"14";"14";"11";"10";"10";"13";"15";"10";"5";"12";"12";"11";"12";"13";"12";"12";"11";"10";"13";"11";"12";"10";"12";"7"
"Stefan Kovač";"6118";"9";"11";"12";"11";"10";"10";"9";"13";"7";"12";"12";"11";"12";"12";"15";"13";"13";"11";"11";"12";"12";"12";"11";"10";"13";"11";"14";"16";"13";"12";"13";"13";"13";"13";"14";"12";"12";"13"
"Aleksandar Popović";"6119";"3";"3";"3";"2";"10";"6";"8";"2";"2";"3";"10";"4";"1";"5";"5";"12";"12";"10";"13";"11";"13";"10";"3";"11";"2";"10";"11";"10";"9";"12";"12";"13";"8";"13";"5";"13";"11";"8"
"Marlon Mustapha";"6120";"3";"7";"12";"12";"11";"4";"12";"8";"3";"6";"11";"12";"8";"12";"16";"11";"12";"10";"9";"11";"10";"13";"14";"4";"14";"7";"12";"16";"16";"11";"12";"12";"13";"15";"13";"12";"11";"12"
"Mees Hilgers";"6121";"10";"11";"6";"6";"12";"8";"13";"10";"5";"12";"11";"9";"12";"9";"13";"12";"13";"13";"13";"11";"13";"11";"5";"8";"11";"12";"13";"15";"10";"10";"15";"14";"12";"10";"12";"13";"14";"6"
"Adis Jasic";"6122";"6";"8";"10";"6";"12";"7";"9";"8";"4";"8";"9";"9";"10";"12";"6";"11";"13";"10";"11";"11";"9";"14";"4";"8";"9";"12";"13";"13";"13";"12";"13";"13";"12";"15";"13";"12";"8";"5"
"Jean Hugonet";"6123";"5";"2";"2";"4";"11";"9";"12";"10";"5";"11";"11";"3";"15";"6";"13";"15";"12";"11";"15";"7";"15";"13";"7";"12";"10";"15";"5";"10";"13";"9";"12";"13";"11";"11";"8";"12";"13";"10"
"Ricard Sánchez";"6124";"11";"13";"12";"8";"10";"11";"9";"9";"12";"11";"11";"3";"12";"12";"11";"12";"13";"12";"12";"12";"11";"10";"13";"11";"14";"11";"11";"10";"14";"13";"13";"9";"12";"13";"11";"11";"11";"5"
"Carlos Domínguez";"6125";"8";"7";"4";"9";"12";"3";"14";"8";"6";"14";"11";"9";"15";"11";"16";"14";"14";"13";"15";"9";"12";"4";"5";"7";"12";"15";"12";"13";"13";"11";"11";"13";"8";"13";"11";"13";"11";"7"
"Beni Baningime";"6126";"5";"7";"10";"7";"12";"5";"11";"7";"5";"13";"11";"9";"15";"13";"14";"15";"15";"14";"11";"10";"13";"15";"10";"10";"8";"13";"15";"16";"12";"13";"15";"11";"14";"11";"14";"12";"14";"12"
"Emil Ceïde";"6127";"7";"11";"16";"9";"14";"7";"4";"10";"3";"4";"11";"5";"3";"14";"6";"9";"7";"12";"9";"11";"11";"14";"15";"3";"13";"5";"6";"8";"15";"16";"14";"5";"13";"14";"13";"9";"8";"6"
"Luciano Ferreyra";"6128";"13";"13";"13";"13";"14";"11";"9";"13";"5";"10";"13";"8";"12";"14";"9";"11";"10";"12";"11";"13";"12";"12";"13";"8";"12";"11";"12";"11";"13";"13";"14";"3";"12";"13";"11";"8";"12";"8"
"Ludovit Reis";"6129";"8";"8";"11";"7";"13";"11";"9";"12";"6";"9";"13";"9";"11";"12";"14";"12";"14";"13";"13";"12";"12";"15";"13";"12";"13";"11";"14";"15";"11";"12";"14";"8";"15";"11";"14";"11";"14";"10"
"Imanol";"6130";"10";"13";"11";"10";"11";"8";"10";"7";"12";"12";"12";"8";"12";"13";"14";"12";"13";"13";"11";"10";"12";"13";"12";"9";"12";"13";"14";"14";"13";"13";"11";"9";"13";"12";"13";"13";"13";"13"
"Matouš Trmal";"6131";"5";"2";"1";"1";"8";"6";"3";"3";"2";"2";"8";"3";"2";"8";"12";"8";"13";"11";"15";"4";"9";"14";"13";"14";"3";"13";"11";"6";"10";"12";"14";"17";"13";"10";"13";"15";"13";"11"
"Ali McCann";"6132";"7";"8";"12";"9";"13";"7";"9";"8";"4";"12";"14";"4";"15";"12";"9";"14";"11";"15";"10";"13";"12";"16";"8";"7";"13";"12";"14";"15";"11";"11";"10";"10";"15";"12";"13";"12";"12";"4"
"Callum Wright";"6133";"8";"9";"12";"12";"12";"7";"9";"11";"7";"7";"12";"10";"10";"12";"10";"12";"13";"13";"10";"12";"11";"15";"11";"5";"12";"12";"15";"16";"14";"12";"12";"10";"12";"12";"14";"12";"12";"4"
"Miloš Kerkez";"6134";"6";"12";"13";"7";"12";"8";"5";"10";"10";"9";"12";"7";"12";"13";"14";"12";"14";"14";"11";"10";"10";"13";"12";"7";"13";"9";"14";"15";"15";"14";"11";"10";"15";"13";"13";"10";"10";"9"
"Owen Otasowie";"6135";"7";"9";"12";"5";"11";"5";"12";"10";"11";"10";"12";"4";"13";"12";"13";"12";"13";"12";"10";"10";"11";"13";"11";"8";"10";"11";"11";"13";"15";"13";"15";"17";"10";"15";"11";"15";"10";"8"
"Carl Gustafsson";"6136";"12";"12";"10";"8";"12";"10";"12";"10";"8";"12";"13";"8";"11";"12";"8";"12";"12";"13";"13";"12";"13";"14";"7";"8";"12";"13";"13";"12";"12";"10";"11";"10";"12";"13";"15";"11";"14";"5"
"Bastien Toma";"6137";"11";"11";"12";"7";"14";"11";"7";"10";"6";"9";"14";"10";"10";"14";"15";"13";"11";"12";"12";"16";"12";"12";"9";"15";"12";"10";"14";"10";"13";"13";"10";"6";"13";"11";"11";"7";"14";"14"
"Freddy Vargas";"6138";"12";"12";"15";"8";"12";"13";"9";"12";"6";"5";"13";"11";"7";"13";"14";"12";"10";"11";"12";"12";"13";"15";"14";"10";"12";"8";"13";"12";"13";"14";"13";"9";"15";"12";"13";"10";"14";"4"
"Edvin Kurtuluş";"6139";"6";"11";"9";"8";"12";"7";"12";"8";"8";"13";"11";"7";"13";"11";"15";"13";"14";"12";"12";"11";"12";"14";"7";"10";"12";"12";"12";"12";"12";"11";"13";"11";"12";"13";"13";"14";"12";"15"
"Franz Gonzáles";"6140";"8";"12";"12";"12";"13";"11";"9";"11";"14";"9";"11";"10";"9";"12";"11";"12";"13";"12";"12";"13";"13";"19";"5";"11";"14";"11";"12";"13";"12";"11";"11";"10";"12";"11";"13";"11";"14";"7"
"Mehmet Aydin";"6141";"5";"12";"12";"8";"13";"6";"8";"8";"12";"11";"12";"12";"13";"13";"15";"12";"13";"12";"11";"12";"11";"15";"13";"8";"13";"11";"13";"15";"13";"12";"12";"10";"13";"14";"14";"11";"12";"10"
"Tyrhys Dolan";"6142";"7";"9";"16";"11";"11";"7";"4";"9";"5";"5";"11";"7";"6";"12";"9";"10";"15";"10";"11";"9";"9";"15";"13";"6";"11";"7";"12";"16";"16";"16";"9";"7";"18";"11";"12";"9";"11";"8"
"Nikita Krivtsov";"6143";"11";"11";"11";"11";"14";"10";"12";"11";"5";"12";"13";"9";"10";"11";"11";"9";"10";"9";"13";"13";"11";"14";"14";"13";"11";"11";"14";"13";"11";"12";"12";"12";"13";"12";"12";"11";"16";"5"
"Diogo Queirós";"6144";"4";"4";"8";"5";"10";"5";"14";"5";"4";"14";"11";"12";"12";"10";"14";"12";"14";"12";"11";"9";"13";"12";"4";"13";"7";"12";"13";"13";"11";"11";"13";"13";"16";"12";"14";"13";"14";"12"
"Kamil Piątkowski";"6145";"5";"9";"9";"6";"11";"5";"12";"9";"9";"13";"11";"7";"13";"10";"16";"11";"14";"12";"11";"10";"11";"16";"5";"9";"12";"11";"13";"14";"12";"12";"13";"15";"15";"13";"14";"14";"11";"7"
"Maximilian Beier";"6146";"4";"7";"13";"12";"11";"8";"12";"10";"3";"7";"11";"12";"8";"12";"13";"12";"12";"11";"9";"12";"9";"16";"14";"4";"13";"7";"13";"16";"16";"13";"11";"11";"16";"15";"12";"8";"11";"6"
"Noah Katterbach";"6147";"11";"12";"13";"9";"12";"8";"8";"10";"10";"11";"13";"8";"11";"13";"11";"12";"11";"11";"11";"10";"12";"14";"13";"7";"11";"10";"14";"12";"13";"12";"12";"11";"12";"14";"12";"10";"8";"6"
"Christian Früchtl";"6148";"2";"2";"1";"1";"11";"3";"6";"2";"3";"3";"11";"3";"2";"11";"7";"11";"12";"15";"12";"10";"10";"12";"8";"11";"1";"12";"12";"12";"11";"14";"13";"16";"12";"11";"12";"11";"12";"5"
"Ransford-Yeboah Königsdörffer";"6149";"12";"14";"13";"11";"16";"8";"11";"9";"11";"11";"15";"11";"10";"11";"14";"9";"9";"13";"9";"13";"14";"16";"13";"14";"16";"11";"8";"13";"13";"13";"12";"10";"13";"13";"9";"9";"7";"9"
"Lautaro Chávez";"6150";"11";"13";"14";"11";"12";"12";"8";"10";"11";"7";"12";"3";"6";"14";"12";"12";"11";"11";"12";"12";"11";"9";"15";"8";"13";"7";"9";"13";"14";"14";"7";"8";"12";"14";"11";"8";"9";"5"
"Andres Andrade";"6151";"7";"9";"12";"6";"12";"7";"10";"7";"9";"11";"11";"10";"12";"13";"11";"12";"10";"11";"10";"11";"10";"8";"6";"7";"12";"15";"13";"12";"14";"14";"14";"14";"13";"13";"13";"12";"12";"7"
"Álvaro Barreal";"6152";"10";"12";"13";"11";"13";"9";"6";"11";"5";"9";"11";"7";"9";"13";"12";"10";"7";"9";"6";"12";"10";"12";"15";"11";"12";"8";"10";"9";"14";"14";"12";"7";"14";"13";"13";"11";"12";"5"
"Javi López";"6153";"8";"12";"12";"7";"11";"4";"11";"10";"11";"13";"13";"8";"14";"12";"12";"13";"11";"11";"12";"10";"11";"15";"13";"13";"12";"11";"10";"15";"14";"14";"12";"12";"12";"13";"13";"11";"13";"5"
"Javi Martínez";"6154";"13";"11";"10";"9";"13";"13";"10";"11";"3";"4";"14";"11";"11";"13";"7";"9";"12";"13";"12";"15";"13";"13";"14";"10";"10";"13";"13";"11";"12";"13";"11";"9";"11";"11";"13";"12";"10";"10"
"Matías Galarza";"6155";"7";"10";"14";"11";"13";"11";"8";"10";"7";"8";"13";"5";"10";"14";"13";"9";"11";"13";"13";"16";"8";"8";"11";"4";"13";"11";"9";"14";"12";"13";"12";"8";"15";"11";"12";"8";"12";"14"
"David Nemeth";"6156";"4";"6";"10";"6";"12";"5";"12";"6";"6";"13";"12";"6";"13";"12";"8";"12";"13";"12";"12";"11";"11";"14";"10";"6";"7";"13";"12";"12";"11";"10";"13";"16";"14";"12";"12";"14";"13";"3"
"Ilias Akhomach";"6157";"10";"10";"15";"11";"14";"10";"6";"11";"6";"5";"12";"10";"6";"16";"11";"9";"13";"11";"9";"12";"12";"14";"17";"8";"13";"5";"11";"7";"14";"15";"12";"7";"14";"13";"11";"9";"15";"10"
"Dion Sanderson";"6158";"8";"9";"11";"7";"10";"7";"13";"10";"11";"13";"10";"8";"13";"11";"12";"11";"13";"11";"12";"9";"10";"11";"8";"11";"9";"12";"12";"13";"13";"11";"12";"13";"12";"14";"13";"15";"12";"11"
"Rodrigo Herrera";"6159";"7";"7";"9";"8";"12";"6";"12";"8";"7";"13";"12";"7";"12";"12";"13";"13";"14";"13";"12";"12";"13";"15";"9";"10";"10";"14";"13";"14";"12";"11";"13";"11";"12";"12";"13";"13";"12";"11"
"Liam Delap";"6160";"3";"7";"12";"13";"12";"7";"9";"10";"9";"5";"12";"11";"7";"12";"16";"12";"14";"12";"12";"8";"8";"16";"13";"7";"12";"6";"11";"14";"13";"12";"9";"13";"14";"14";"13";"13";"10";"16"
"Julian Araujo";"6161";"4";"12";"12";"6";"12";"5";"10";"6";"9";"12";"12";"11";"13";"12";"12";"10";"15";"11";"11";"10";"10";"11";"6";"3";"11";"12";"14";"14";"14";"13";"14";"9";"11";"14";"15";"9";"11";"5"
"Juan Larios";"6162";"10";"12";"13";"7";"12";"8";"8";"7";"9";"11";"13";"7";"12";"14";"12";"7";"12";"12";"10";"8";"9";"15";"10";"9";"9";"9";"14";"14";"16";"15";"13";"7";"12";"14";"14";"8";"12";"10"
"Kevin Paredes";"6163";"7";"11";"13";"10";"11";"7";"5";"8";"6";"10";"11";"7";"12";"12";"13";"12";"13";"11";"9";"11";"10";"13";"13";"5";"13";"10";"12";"12";"15";"12";"12";"5";"14";"14";"13";"8";"12";"11"
"Odin Bjørtuft";"6164";"7";"10";"10";"7";"11";"8";"12";"8";"8";"15";"12";"6";"13";"11";"13";"12";"11";"13";"11";"11";"12";"13";"9";"10";"10";"13";"12";"12";"11";"10";"12";"14";"12";"13";"13";"13";"12";"8"
"Enzo Roldán";"6165";"11";"11";"14";"10";"13";"10";"7";"10";"9";"8";"13";"7";"8";"14";"9";"10";"9";"8";"12";"13";"12";"10";"12";"13";"10";"8";"13";"12";"13";"14";"10";"8";"11";"14";"12";"9";"10";"6"
"Yehor Yarmoliuk";"6166";"8";"11";"12";"13";"11";"7";"11";"13";"6";"11";"13";"6";"12";"12";"11";"15";"6";"8";"11";"13";"12";"15";"10";"6";"9";"13";"13";"18";"12";"12";"12";"8";"15";"12";"13";"7";"13";"7"
"Stefán Teitur Þórðarson";"6167";"7";"10";"8";"6";"13";"10";"7";"8";"14";"12";"9";"8";"15";"15";"14";"14";"10";"10";"12";"15";"15";"10";"5";"10";"12";"15";"11";"13";"11";"15";"10";"14";"5";"15";"8";"8";"11";"11"
"Rubin Colwill";"6168";"10";"11";"13";"12";"13";"12";"12";"11";"7";"10";"12";"11";"10";"14";"8";"11";"11";"13";"12";"13";"10";"8";"13";"10";"12";"11";"13";"13";"10";"12";"13";"10";"12";"12";"12";"14";"9";"8"
"Dario Marešić";"6169";"4";"7";"9";"6";"12";"5";"13";"6";"6";"13";"14";"7";"12";"12";"8";"12";"12";"9";"10";"12";"11";"16";"8";"8";"5";"12";"12";"12";"13";"13";"14";"14";"16";"14";"14";"14";"12";"6"
"Samuel Edozie";"6170";"9";"10";"15";"11";"9";"11";"6";"8";"4";"7";"12";"7";"10";"13";"5";"6";"7";"7";"12";"10";"12";"8";"16";"6";"12";"9";"12";"15";"15";"14";"13";"11";"13";"16";"15";"9";"11";"8"
"Alex Timossi Andersson";"6171";"5";"11";"14";"11";"11";"5";"7";"9";"5";"8";"11";"10";"9";"12";"14";"11";"12";"11";"10";"12";"10";"13";"14";"4";"13";"9";"13";"14";"15";"13";"10";"5";"13";"14";"13";"7";"12";"8"
"Burak Kapacak";"6172";"13";"13";"15";"10";"11";"5";"8";"11";"5";"7";"11";"4";"8";"13";"11";"10";"10";"10";"11";"11";"8";"12";"13";"6";"13";"9";"12";"14";"16";"13";"9";"8";"12";"15";"12";"9";"12";"5"
"Ali Akman";"6173";"6";"8";"11";"14";"13";"7";"10";"7";"3";"4";"12";"13";"6";"13";"8";"13";"9";"12";"12";"12";"11";"13";"14";"8";"15";"6";"12";"13";"13";"14";"12";"9";"12";"12";"11";"9";"12";"5"
"Željko Gavrić";"6174";"12";"12";"14";"11";"13";"13";"7";"13";"5";"6";"13";"14";"7";"14";"10";"11";"10";"10";"10";"12";"12";"13";"14";"11";"13";"10";"11";"12";"13";"14";"10";"8";"10";"12";"11";"11";"12";"9"
"Tiago Almeida";"6175";"9";"10";"11";"8";"12";"5";"7";"6";"4";"10";"11";"5";"14";"13";"11";"13";"12";"11";"13";"10";"12";"13";"12";"8";"11";"11";"13";"14";"15";"14";"12";"6";"10";"14";"13";"7";"12";"5"
"Atakan Kesgin";"6176";"11";"12";"12";"9";"13";"8";"7";"11";"4";"10";"13";"11";"7";"14";"11";"14";"6";"14";"13";"12";"13";"12";"14";"5";"14";"6";"13";"12";"12";"13";"12";"7";"14";"11";"11";"8";"11";"4"
"Kartal Kayra Yılmaz";"6177";"15";"14";"12";"7";"13";"13";"6";"9";"5";"9";"14";"11";"9";"14";"11";"13";"12";"13";"14";"13";"13";"15";"12";"6";"11";"13";"15";"14";"12";"13";"12";"9";"15";"11";"11";"9";"13";"9"
"Tomás González";"6178";"10";"10";"14";"10";"11";"10";"14";"8";"3";"7";"9";"8";"6";"13";"5";"8";"11";"12";"8";"11";"15";"13";"15";"2";"15";"7";"11";"12";"14";"13";"12";"8";"12";"14";"10";"9";"12";"13"
"Uroš Milovanović";"6179";"7";"7";"8";"13";"12";"7";"14";"8";"5";"5";"9";"11";"6";"11";"13";"14";"13";"13";"12";"10";"12";"10";"10";"6";"12";"10";"13";"13";"13";"11";"11";"15";"12";"13";"12";"13";"13";"7"
"Yusuf Demir";"6180";"12";"9";"15";"10";"14";"12";"7";"11";"5";"5";"12";"8";"6";"16";"7";"10";"11";"9";"11";"13";"12";"14";"15";"5";"12";"6";"12";"9";"14";"15";"12";"8";"12";"13";"11";"7";"6";"5"
"Antoñín";"6181";"11";"11";"14";"13";"13";"8";"11";"12";"4";"3";"9";"12";"3";"13";"7";"12";"14";"10";"13";"10";"11";"13";"12";"10";"12";"3";"10";"13";"15";"14";"9";"11";"14";"15";"11";"8";"13";"12"
"Borja Sainz";"6182";"8";"12";"13";"9";"11";"8";"8";"10";"5";"6";"11";"13";"7";"12";"9";"8";"12";"10";"11";"10";"11";"8";"12";"7";"13";"9";"12";"11";"15";"14";"10";"7";"11";"14";"12";"8";"8";"6"
"Ben Wilmot";"6183";"8";"7";"8";"8";"9";"8";"13";"7";"11";"14";"10";"8";"11";"12";"15";"12";"16";"13";"12";"11";"11";"16";"7";"13";"8";"12";"14";"16";"11";"11";"12";"13";"14";"13";"15";"12";"15";"15"
"Tom Holmes";"6184";"7";"9";"9";"8";"12";"10";"13";"9";"14";"14";"11";"12";"13";"9";"15";"9";"17";"12";"10";"8";"9";"16";"7";"15";"10";"12";"14";"15";"11";"11";"10";"14";"14";"12";"13";"15";"12";"12"
"Rodrigo Márquez";"6185";"10";"11";"13";"12";"14";"12";"12";"14";"10";"8";"13";"13";"10";"11";"7";"15";"6";"14";"11";"11";"12";"18";"8";"8";"11";"11";"10";"12";"12";"12";"11";"10";"15";"12";"13";"12";"13";"7"
"Javier Belman";"6186";"6";"1";"1";"2";"7";"8";"1";"2";"3";"3";"10";"3";"1";"8";"5";"12";"13";"11";"11";"11";"10";"5";"2";"14";"2";"11";"9";"8";"10";"12";"8";"13";"10";"11";"6";"8";"11";"11"
"Mitchell van Bergen";"6187";"10";"9";"15";"9";"10";"7";"5";"11";"9";"4";"10";"9";"4";"10";"9";"10";"7";"11";"11";"10";"11";"12";"14";"5";"13";"4";"13";"11";"17";"14";"8";"9";"5";"16";"10";"8";"11";"6"
"Luis Olivas";"6188";"4";"6";"4";"5";"10";"7";"13";"8";"11";"13";"11";"7";"13";"9";"9";"11";"10";"10";"12";"12";"15";"16";"11";"10";"8";"12";"11";"11";"10";"8";"14";"12";"11";"10";"9";"16";"13";"6"
"Ahmed Kutucu";"6189";"13";"11";"12";"13";"12";"12";"10";"13";"4";"6";"12";"10";"8";"14";"16";"10";"15";"12";"10";"11";"9";"14";"13";"10";"13";"7";"13";"15";"12";"13";"13";"11";"15";"12";"14";"10";"14";"7"
"Roberto de la Rosa";"6190";"11";"10";"16";"13";"15";"13";"11";"12";"7";"10";"12";"11";"4";"14";"6";"16";"7";"15";"12";"12";"16";"10";"12";"14";"13";"11";"11";"12";"11";"9";"8";"11";"12";"10";"10";"8";"12";"8"
"David Zalazar";"6191";"12";"13";"13";"11";"11";"13";"8";"8";"9";"10";"12";"6";"11";"13";"15";"11";"10";"11";"9";"11";"14";"4";"11";"4";"14";"8";"10";"11";"14";"11";"10";"10";"12";"13";"12";"7";"14";"7"
"Talles Costa";"6192";"11";"12";"13";"8";"13";"11";"9";"9";"9";"10";"13";"7";"11";"12";"9";"12";"9";"12";"11";"14";"12";"12";"11";"9";"11";"12";"14";"10";"13";"14";"9";"8";"13";"12";"11";"8";"20";"15"
"Abiel Osorio";"6193";"8";"9";"12";"10";"11";"8";"13";"11";"8";"9";"10";"13";"10";"12";"15";"13";"14";"9";"12";"10";"11";"15";"12";"12";"14";"10";"13";"14";"13";"12";"14";"12";"13";"14";"13";"14";"12";"8"
"Tomás Muro";"6194";"14";"12";"13";"11";"12";"13";"11";"12";"7";"8";"13";"10";"8";"13";"13";"12";"11";"13";"12";"12";"12";"5";"14";"6";"13";"12";"10";"12";"13";"14";"12";"11";"13";"12";"11";"12";"14";"15"
"Jonas David";"6195";"5";"7";"11";"6";"12";"6";"13";"8";"9";"12";"13";"8";"12";"12";"12";"11";"12";"13";"11";"12";"11";"11";"10";"8";"7";"13";"14";"12";"11";"10";"13";"15";"13";"13";"12";"14";"13";"9"
"Marko Milovanović";"6196";"5";"7";"9";"12";"11";"7";"14";"9";"10";"8";"9";"8";"5";"11";"10";"12";"10";"12";"13";"11";"11";"13";"14";"10";"11";"13";"10";"10";"12";"10";"10";"15";"12";"12";"12";"13";"13";"9"
"Eric Martel";"6197";"8";"12";"12";"8";"13";"9";"13";"9";"10";"13";"13";"9";"13";"13";"8";"12";"12";"12";"13";"9";"10";"13";"8";"8";"10";"15";"11";"12";"13";"13";"12";"14";"13";"14";"14";"14";"13";"8"
