"Name(ocultar)";"Futbolista_ID";"Alcance aéreo";"Liderazgo en el área";"Comunicación";"Exentricidad";"Manejo de balón";"Despeje de balón";"1 vs 1";"Reflejos";"Salir a por el balón ";"Puños de portero";"Lanzamientos de portero"
"Mohamed Kaba";"6435";"1";"2";"2";"2";"1";"1";"3";"1";"1";"3";"1"
"Rodrigo Montes";"6436";"1";"1";"2";"4";"3";"3";"1";"1";"2";"3";"3"
"Alessandro Cortinovis";"6437";"2";"1";"3";"3";"1";"1";"1";"2";"1";"1";"2"
"Alonso Aceves";"6438";"2";"1";"1";"2";"1";"3";"3";"3";"1";"1";"1"
"Anis Mehmeti";"6439";"3";"2";"3";"2";"3";"3";"1";"1";"1";"2";"3"
"Pablo Rodríguez";"6440";"1";"1";"3";"1";"1";"2";"1";"3";"2";"1";"3"
"Tim Schreiber";"6441";"14";"11";"9";"5";"14";"10";"14";"14";"8";"5";"10"
"Patricio Núñez";"6442";"1";"2";"1";"1";"2";"1";"3";"1";"1";"4";"3"
"Gonzalo González";"6443";"3";"3";"3";"1";"2";"1";"1";"3";"2";"2";"2"
"Marouan Azarkan";"6444";"2";"1";"1";"1";"2";"3";"4";"3";"1";"2";"4"
"Moussa Sissako";"6445";"3";"3";"3";"3";"4";"1";"1";"3";"3";"2";"3"
"Yann Gboho";"6446";"3";"2";"2";"1";"3";"3";"3";"1";"1";"1";"1"
"Sebastiano Esposito";"6447";"2";"1";"3";"3";"1";"1";"4";"2";"3";"1";"3"
"Steven Sessegnon";"6448";"2";"1";"2";"1";"1";"2";"2";"1";"2";"1";"3"
"Muharem Huskovic";"6449";"1";"3";"3";"3";"2";"2";"2";"2";"3";"2";"1"
"Ethan Erhahon";"6450";"2";"1";"3";"2";"2";"3";"1";"3";"3";"1";"3"
"Oleksandr Nazarenko";"6451";"1";"2";"2";"1";"3";"2";"3";"3";"2";"3";"3"
"Tim Breithaupt";"6452";"1";"2";"3";"3";"1";"3";"3";"1";"3";"2";"2"
"Saïdou Sow";"6453";"3";"3";"3";"3";"3";"2";"3";"2";"2";"3";"3"
"Christian Larotonda";"6454";"3";"2";"2";"3";"4";"3";"2";"2";"3";"3";"1"
"Ryan Longman";"6455";"3";"2";"1";"3";"4";"1";"3";"3";"4";"3";"2"
"Lewis Bate";"6456";"1";"1";"2";"1";"3";"1";"4";"1";"3";"2";"3"
"Japhet Sery Larsen";"6457";"1";"1";"4";"1";"2";"2";"2";"1";"1";"2";"3"
"Dominik Yankov";"6458";"3";"3";"3";"1";"1";"1";"1";"3";"3";"3";"2"
"Valentin Antov";"6459";"3";"2";"1";"3";"2";"3";"2";"3";"1";"3";"2"
"Paul Nebel";"6460";"3";"1";"2";"1";"1";"1";"3";"3";"3";"2";"1"
"Jonathan Russell";"6461";"2";"3";"2";"3";"1";"4";"3";"1";"3";"3";"3"
"Ricardo Pepi";"6462";"1";"1";"2";"1";"2";"2";"2";"2";"3";"1";"3"
"Petar Stanić";"6463";"1";"2";"2";"1";"1";"3";"1";"2";"1";"1";"2"
"Emmanuel Longelo";"6464";"3";"2";"3";"4";"1";"3";"4";"1";"1";"2";"2"
"Kristijan Belić";"6465";"2";"1";"2";"3";"2";"2";"1";"3";"3";"2";"1"
"Nilton Varela";"6466";"3";"3";"1";"1";"2";"3";"2";"3";"1";"1";"3"
"Kayky";"6467";"2";"2";"3";"3";"2";"3";"1";"3";"3";"3";"1"
"Filip Rønningen Jørgensen";"6468";"3";"1";"2";"2";"2";"2";"2";"2";"1";"4";"3"
"Daniil Denisov";"6469";"4";"3";"2";"2";"3";"1";"2";"3";"2";"3";"1"
"Mark McGuinness";"6470";"3";"1";"1";"1";"1";"2";"1";"2";"3";"3";"2"
"Joshua Kitolano";"6471";"2";"3";"3";"2";"3";"3";"3";"3";"1";"3";"1"
"Mihajlo Ivančević";"6472";"1";"1";"3";"1";"2";"2";"1";"3";"3";"2";"3"
"Jonathan Rowe";"6473";"3";"3";"1";"1";"1";"1";"3";"4";"3";"2";"1"
"Nikola Štulić";"6474";"2";"2";"1";"2";"3";"3";"1";"3";"1";"3";"1"
"Bruno Rodrigues";"6475";"3";"1";"1";"2";"1";"2";"2";"1";"2";"2";"2"
"Jhilmar Lora";"6476";"2";"1";"2";"3";"2";"2";"3";"1";"3";"1";"1"
"Konstantin Tyukavin";"6477";"2";"4";"1";"1";"1";"2";"3";"1";"2";"2";"3"
"Zuriko Davitashvili";"6478";"2";"1";"2";"3";"1";"2";"2";"4";"2";"3";"1"
"Tim Iroegbunam";"6479";"2";"1";"3";"3";"1";"2";"3";"3";"1";"1";"2"
"Jonathan Panzo";"6480";"1";"2";"2";"1";"4";"1";"1";"1";"2";"3";"3"
"Paddy Lane";"6481";"2";"1";"2";"2";"3";"1";"1";"3";"2";"3";"3"
"Yuri César";"6482";"3";"1";"2";"2";"2";"3";"3";"1";"3";"1";"1"
"Svit Sešlar";"6483";"3";"1";"4";"1";"2";"1";"1";"1";"3";"1";"2"
"Lilian Egloff";"6484";"3";"4";"1";"1";"3";"2";"3";"1";"2";"3";"3"
"Stipe Biuk";"6485";"1";"3";"1";"3";"4";"3";"2";"2";"2";"2";"3"
"Tobias Raschl";"6486";"2";"3";"1";"4";"1";"3";"3";"3";"1";"3";"3"
"Dujon Sterling";"6487";"1";"3";"1";"3";"3";"1";"1";"3";"2";"2";"4"
"João Marcelo";"6488";"3";"2";"2";"2";"2";"1";"1";"1";"1";"2";"2"
"Kaine Kesler Hayden";"6489";"2";"2";"1";"3";"2";"4";"3";"3";"4";"1";"1"
"Harald Tangen";"6490";"1";"2";"3";"2";"3";"3";"2";"1";"2";"3";"2"
"Ignacio Maestro Puch";"6491";"3";"4";"1";"2";"2";"2";"3";"1";"2";"3";"2"
"Lucas Bergström";"6492";"19";"11";"10";"3";"11";"14";"12";"14";"9";"7";"14"
"Kevin López";"6493";"3";"2";"1";"3";"3";"2";"1";"3";"3";"3";"1"
"Noah Weißhaupt";"6494";"3";"1";"3";"3";"3";"1";"1";"3";"1";"4";"1"
"Zidane Iqbal";"6495";"3";"3";"1";"2";"2";"1";"1";"4";"3";"4";"1"
"Eric Kahl";"6496";"2";"3";"2";"4";"2";"2";"2";"1";"1";"1";"4"
"Tanner Tessmann";"6497";"3";"3";"2";"1";"1";"2";"1";"1";"3";"2";"2"
"Ante Palaversa";"6498";"1";"3";"2";"1";"3";"1";"4";"3";"2";"2";"1"
"Lee Buchanan";"6499";"1";"1";"3";"3";"1";"1";"1";"2";"1";"2";"2"
"Matheus Nascimento";"6500";"3";"1";"2";"3";"3";"1";"1";"3";"1";"1";"2"
"Ilias Koutsoupias";"6501";"3";"3";"1";"2";"2";"3";"1";"2";"3";"3";"2"
"Daishawn Redan";"6502";"2";"3";"3";"3";"3";"4";"2";"3";"3";"1";"2"
"Kilian Ludewig";"6503";"3";"4";"3";"1";"3";"3";"1";"2";"3";"3";"2"
"Yasin Ayari";"6504";"2";"2";"1";"1";"1";"3";"3";"3";"3";"4";"1"
"Danila Prokhin";"6505";"3";"3";"1";"2";"2";"3";"2";"2";"2";"3";"2"
"MT";"6506";"3";"2";"1";"1";"3";"3";"2";"1";"1";"2";"1"
"Octavian Popescu";"6507";"3";"3";"3";"3";"3";"3";"1";"2";"4";"4";"3"
"Conor Coventry";"6508";"2";"1";"1";"1";"3";"2";"2";"3";"1";"2";"1"
"Thijs Oosting";"6509";"1";"1";"2";"1";"3";"1";"2";"2";"3";"3";"2"
"Diego Altube";"6510";"12";"15";"13";"3";"11";"15";"15";"12";"12";"11";"13"
"Tim Rönning";"6511";"17";"14";"12";"6";"14";"7";"13";"13";"13";"8";"13"
"Yerson Chacón";"6512";"3";"1";"4";"3";"3";"2";"1";"1";"1";"3";"3"
"Nik Prelec";"6513";"1";"1";"1";"2";"1";"3";"1";"1";"3";"1";"1"
"Francisco Flores";"6514";"3";"2";"2";"2";"1";"1";"4";"2";"1";"2";"3"
"David Miculescu";"6515";"1";"3";"1";"3";"3";"1";"1";"3";"3";"2";"2"
"Elliot Embleton";"6516";"3";"3";"2";"1";"2";"4";"4";"3";"1";"2";"3"
"Lukas Gütlbauer";"6517";"15";"12";"11";"6";"11";"13";"11";"12";"8";"12";"13"
"Thomas Kristensen";"6518";"3";"1";"1";"1";"2";"1";"3";"1";"3";"1";"3"
"Amankwah Forson";"6519";"1";"2";"3";"3";"3";"3";"3";"3";"1";"1";"3"
"Oleh Ocheretko";"6520";"3";"1";"2";"1";"4";"2";"2";"1";"1";"1";"3"
"Gabriele Ferrarini";"6521";"4";"1";"1";"1";"2";"1";"2";"2";"1";"3";"1"
"Joaquín Sosa";"6522";"2";"2";"3";"3";"1";"2";"2";"3";"2";"3";"2"
"Bruno Iglesias";"6523";"3";"2";"3";"3";"1";"1";"1";"1";"3";"4";"2"
"Akor Jerome Adams";"6524";"2";"1";"3";"2";"3";"1";"2";"1";"4";"2";"1"
"Leon King";"6525";"1";"4";"2";"1";"3";"2";"1";"3";"3";"3";"3"
"Rufino Lucero";"6526";"1";"3";"1";"2";"2";"3";"1";"3";"3";"1";"3"
"Marko Divkovic";"6527";"4";"2";"3";"1";"1";"3";"2";"3";"1";"1";"2"
"Paulos Abraham";"6528";"2";"2";"2";"2";"1";"3";"1";"3";"3";"1";"3"
"Bastián Yáñez";"6529";"3";"2";"3";"1";"2";"2";"1";"1";"1";"2";"3"
"Pablo Ramón";"6530";"4";"3";"3";"3";"2";"2";"1";"1";"1";"3";"2"
"Nduka Junior";"6531";"2";"2";"2";"1";"3";"3";"2";"2";"2";"3";"1"
"Viktor Johansson";"6532";"12";"13";"12";"11";"13";"11";"12";"14";"13";"11";"11"
"Luanzinho";"6533";"3";"3";"1";"3";"4";"1";"3";"3";"4";"2";"2"
"Evidence Makgopa";"6534";"2";"3";"3";"2";"3";"2";"3";"2";"2";"2";"2"
"Bongokuhle Hlongwane";"6535";"3";"1";"2";"4";"1";"3";"1";"1";"1";"4";"3"
"Leandro Brey";"6536";"12";"11";"10";"4";"12";"11";"12";"12";"7";"7";"11"
"Iván Morante";"6537";"3";"2";"2";"1";"2";"1";"3";"1";"2";"2";"2"
"Matthew Sorinola";"6538";"2";"2";"1";"1";"3";"2";"2";"3";"4";"1";"3"
"Emerson Rodríguez";"6539";"2";"2";"1";"1";"1";"1";"3";"2";"3";"3";"2"
"Filip Jörgensen";"6540";"14";"14";"14";"5";"14";"13";"14";"14";"13";"15";"11"
"Joel Bagan";"6541";"3";"3";"3";"1";"3";"3";"3";"1";"2";"2";"3"
"Luca Martínez Dupuy";"6542";"1";"3";"3";"3";"3";"1";"3";"1";"1";"3";"2"
"Federico Ravaglia";"6543";"14";"10";"10";"3";"13";"14";"13";"13";"8";"11";"9"
"Þórir Jóhann Helgason";"6544";"2";"1";"1";"1";"1";"3";"3";"1";"3";"2";"1"
"Raúl Moro";"6545";"1";"1";"3";"1";"3";"3";"1";"1";"4";"3";"3"
"Raúl García";"6546";"2";"3";"2";"3";"1";"3";"1";"1";"1";"2";"1"
"Mirko Topić";"6547";"2";"1";"2";"2";"4";"3";"3";"1";"2";"3";"2"
"Santiago Naveda";"6548";"3";"3";"1";"3";"3";"3";"3";"2";"2";"2";"3"
"Gabriel Barros";"6549";"3";"1";"3";"3";"1";"3";"1";"3";"2";"3";"3"
"Manfred Ugalde";"6550";"3";"1";"2";"4";"2";"3";"1";"2";"2";"3";"3"
"Harvey White";"6551";"3";"2";"1";"4";"1";"2";"1";"2";"2";"1";"2"
"Christos Zafeiris";"6552";"2";"3";"3";"2";"1";"1";"3";"3";"1";"3";"1"
"Jung Sang-Bin";"6553";"2";"2";"3";"2";"3";"3";"2";"3";"2";"3";"2"
"Pablo Moreno";"6554";"1";"2";"4";"2";"2";"1";"2";"1";"1";"2";"3"
"Juninho";"6555";"1";"1";"1";"2";"3";"3";"3";"2";"1";"4";"2"
"César Haydar";"6556";"2";"2";"2";"1";"1";"1";"3";"4";"1";"4";"3"
"Matías Soulé";"6557";"2";"4";"1";"2";"3";"2";"2";"3";"3";"3";"2"
"Ewoud Pletinckx";"6558";"1";"3";"1";"2";"2";"3";"2";"2";"1";"1";"1"
"Wahid Faghir";"6559";"4";"2";"2";"3";"2";"3";"1";"1";"2";"3";"2"
"Dane Scarlett";"6560";"3";"4";"1";"2";"4";"3";"2";"3";"3";"1";"1"
"Isaac Lihadji";"6561";"2";"2";"3";"1";"1";"1";"2";"1";"1";"3";"2"
"Toluwalase Arokodare";"6562";"1";"1";"1";"1";"3";"2";"2";"4";"2";"1";"1"
"Adnan Uğur";"6563";"3";"2";"3";"1";"2";"2";"3";"2";"2";"3";"2"
"Dilane Bakwa";"6564";"1";"3";"1";"3";"3";"2";"4";"1";"3";"2";"2"
"Damián Fernández";"6565";"3";"2";"3";"1";"3";"1";"1";"2";"1";"1";"1"
"James Trafford";"6566";"15";"10";"10";"8";"10";"12";"13";"13";"10";"7";"13"
"Mender García";"6567";"1";"2";"1";"2";"1";"1";"3";"2";"1";"3";"1"
"Bilal El Khannouss";"6568";"3";"3";"3";"3";"3";"1";"1";"2";"1";"3";"2"
"Charlie McCann";"6569";"3";"2";"2";"2";"1";"1";"3";"3";"2";"1";"3"
"Luca Kronberger";"6570";"4";"3";"3";"1";"3";"2";"3";"1";"1";"2";"3"
"Kacper Kozłowski";"6571";"4";"2";"2";"1";"2";"2";"3";"3";"2";"2";"2"
"Teden Mengi";"6572";"2";"3";"2";"2";"3";"2";"2";"2";"4";"2";"2"
"Ruslan Neshcheret";"6573";"12";"12";"13";"9";"11";"14";"13";"13";"10";"15";"13"
"Rareş Ilie";"6574";"2";"1";"1";"3";"3";"1";"1";"3";"2";"2";"2"
"Botond Balogh";"6575";"1";"2";"3";"1";"1";"1";"1";"3";"3";"1";"2"
"Urko González de Zárate";"6576";"4";"1";"1";"3";"3";"1";"3";"3";"2";"3";"1"
"Lukas Kačavenda";"6577";"2";"2";"1";"2";"1";"3";"3";"2";"2";"2";"4"
"Luka Vešner Tičić";"6578";"2";"3";"3";"3";"1";"2";"3";"2";"2";"2";"3"
"Marian Faryna";"6579";"2";"2";"3";"2";"3";"1";"3";"2";"3";"2";"1"
"Joelson Fernandes";"6580";"1";"2";"3";"1";"3";"2";"3";"3";"1";"3";"2"
"Marco Angulo";"6581";"3";"3";"3";"2";"2";"2";"1";"3";"3";"3";"2"
"Zach Hemming";"6582";"14";"13";"7";"3";"13";"11";"13";"10";"12";"6";"9"
"Marcin Bułka";"6583";"17";"11";"9";"8";"11";"15";"12";"11";"12";"8";"10"
"Tommaso Baldanzi";"6584";"3";"3";"2";"3";"1";"4";"1";"1";"2";"2";"1"
"Clément Vidal";"6585";"2";"2";"2";"2";"3";"3";"1";"1";"1";"2";"1"
"Loïc Mbe Soh";"6586";"3";"3";"3";"2";"1";"3";"1";"1";"4";"1";"1"
"João Virgínia";"6587";"15";"10";"11";"5";"13";"12";"13";"15";"12";"10";"8"
"Alexis Trouillet";"6588";"3";"1";"3";"3";"1";"1";"1";"2";"3";"3";"3"
"Tom Dele-Bashiru";"6589";"3";"2";"3";"2";"2";"1";"1";"2";"3";"1";"2"
"Giovanni Fabbian";"6590";"2";"1";"2";"1";"2";"1";"3";"2";"1";"1";"2"
"Ahmetcan Kaplan";"6591";"1";"4";"2";"1";"2";"1";"2";"2";"4";"2";"1"
"Giulian Biancone";"6592";"1";"2";"3";"1";"3";"4";"2";"1";"3";"1";"1"
"Enzo Millot";"6593";"1";"2";"2";"3";"3";"2";"2";"2";"1";"3";"2"
"Iker Álvarez";"6594";"15";"10";"11";"5";"15";"15";"15";"13";"8";"12";"10"
"Amir Hossein Hosseinzadeh";"6595";"3";"2";"1";"2";"3";"3";"2";"2";"3";"2";"2"
"Conor Noß";"6596";"1";"3";"1";"3";"1";"1";"2";"2";"1";"1";"2"
"Linus Gechter";"6597";"1";"2";"4";"1";"2";"2";"3";"2";"3";"3";"3"
"Ayman Benarous";"6598";"4";"2";"3";"2";"2";"3";"2";"3";"3";"1";"2"
"Ammar Hamdi";"6599";"1";"3";"2";"1";"1";"1";"2";"3";"3";"1";"2"
"Emilio Lara";"6600";"3";"2";"2";"2";"1";"3";"1";"3";"4";"1";"3"
"Emilio Kehrer";"6601";"3";"2";"1";"2";"2";"3";"2";"3";"2";"2";"1"
"Saba Sazonov";"6602";"3";"1";"3";"2";"1";"1";"2";"3";"2";"2";"3"
"Kerim Çalhanoğlu";"6603";"1";"3";"3";"2";"2";"3";"3";"3";"3";"3";"3"
"Kirill Kravtsov";"6604";"3";"3";"2";"1";"1";"3";"3";"1";"2";"2";"3"
"Furkan Bayır";"6605";"2";"1";"2";"2";"2";"1";"1";"3";"3";"1";"1"
"Christopher Wooh";"6606";"3";"1";"1";"1";"3";"2";"1";"3";"1";"2";"2"
"Ousmane Camara";"6607";"3";"1";"3";"2";"2";"1";"1";"2";"2";"1";"3"
"Felipe Amaral";"6608";"2";"1";"1";"1";"2";"2";"2";"4";"2";"1";"1"
"Samuele Mulattieri";"6609";"3";"2";"1";"2";"1";"2";"1";"3";"2";"1";"2"
"Julián Malatini";"6610";"3";"3";"3";"3";"4";"1";"2";"1";"3";"2";"3"
"Benjamin Nygren";"6611";"3";"3";"3";"1";"2";"3";"3";"1";"3";"1";"1"
"James McAtee";"6612";"3";"1";"4";"2";"1";"2";"3";"4";"4";"1";"4"
"Matías González";"6613";"2";"2";"2";"1";"3";"3";"3";"2";"1";"2";"2"
"Simone Canestrelli";"6614";"1";"1";"3";"3";"3";"3";"2";"1";"3";"2";"3"
"Simone Ghidotti";"6615";"12";"12";"12";"10";"13";"12";"13";"12";"11";"10";"10"
"Alexandr Kovalenko";"6616";"2";"3";"2";"1";"4";"2";"3";"1";"3";"1";"2"
"Eom Ji-Sung";"6617";"2";"1";"1";"1";"2";"2";"3";"2";"1";"2";"3"
"Lee Han-Bum";"6618";"3";"4";"1";"2";"3";"2";"3";"2";"3";"3";"2"
"Mathias Olesen";"6619";"4";"2";"1";"3";"3";"2";"3";"3";"2";"2";"3"
"Ilija Vukotić";"6620";"1";"3";"3";"1";"2";"3";"3";"2";"1";"3";"2"
"Christian Pastina";"6621";"1";"1";"3";"2";"1";"2";"1";"1";"1";"3";"2"
"Sebastián Pereira";"6622";"1";"2";"3";"2";"3";"1";"3";"1";"1";"1";"3"
"Tom Rothe";"6623";"2";"1";"1";"2";"2";"2";"4";"3";"2";"3";"2"
"Tim Lemperle";"6624";"2";"3";"2";"1";"3";"1";"2";"1";"3";"1";"3"
"Matheus Donelli";"6625";"10";"10";"10";"5";"13";"10";"16";"14";"12";"13";"11"
"Iker Losada";"6626";"3";"1";"4";"1";"1";"1";"1";"3";"1";"3";"1"
"Nicolás Demartini";"6627";"2";"2";"1";"4";"3";"1";"3";"3";"1";"4";"2"
"Luca D'Andrea";"6628";"2";"3";"3";"1";"1";"2";"2";"2";"1";"2";"1"
"Luca Gemello";"6629";"15";"13";"12";"9";"12";"12";"12";"12";"10";"10";"11"
"Franck Kanouté";"6630";"1";"1";"1";"1";"1";"1";"2";"3";"1";"3";"2"
"Niccolò Pierozzi";"6631";"1";"4";"1";"4";"2";"2";"2";"3";"2";"1";"3"
"Guy Mbenza";"6632";"3";"2";"3";"2";"3";"3";"2";"2";"1";"1";"3"
"Peer Koopmeiners";"6633";"2";"2";"1";"3";"3";"2";"3";"2";"3";"2";"3"
"Riccardo Ciervo";"6634";"1";"1";"3";"1";"1";"3";"3";"2";"2";"1";"4"
"Dorgéles Néné";"6635";"2";"2";"2";"3";"1";"3";"2";"2";"2";"2";"2"
"Bradley Barcola";"6636";"1";"2";"1";"2";"1";"1";"4";"2";"3";"3";"2"
"James Hill";"6637";"2";"1";"1";"2";"2";"2";"3";"1";"3";"2";"1"
"Hugo Vallejo";"6638";"1";"3";"4";"3";"3";"4";"1";"4";"2";"1";"1"
"Álvaro Núñez";"6639";"3";"2";"1";"2";"3";"1";"2";"2";"2";"1";"1"
"Marko Stamenić";"6640";"2";"2";"1";"2";"1";"3";"4";"2";"3";"1";"3"
"Pedro Brazão";"6641";"1";"1";"2";"3";"3";"2";"3";"1";"1";"3";"4"
"Dion Lopy";"6642";"3";"3";"1";"3";"1";"3";"1";"2";"1";"2";"3"
"Tomás Tavares";"6643";"1";"2";"3";"4";"1";"4";"3";"2";"1";"2";"1"
"Calvin Ramsay";"6644";"2";"2";"1";"2";"2";"2";"1";"1";"4";"1";"2"
"Tomás Esteves";"6645";"3";"2";"2";"1";"2";"2";"1";"1";"2";"3";"2"
"Álvaro Bastida";"6646";"1";"1";"3";"4";"2";"1";"1";"3";"3";"1";"1"
"Emrecan Uzunhan";"6647";"4";"2";"1";"2";"3";"4";"3";"3";"2";"1";"3"
"Jay Matete";"6648";"2";"2";"1";"2";"3";"3";"2";"3";"3";"3";"1"
"Rico Lewis";"6649";"4";"3";"2";"2";"3";"3";"2";"1";"3";"1";"1"
"Aziz Ouattara";"6650";"4";"3";"1";"3";"2";"2";"1";"3";"3";"3";"1"
"Danil Prutsev";"6651";"3";"1";"1";"1";"3";"3";"3";"1";"3";"1";"2"
"Fabio Blanco";"6652";"3";"2";"1";"3";"1";"1";"3";"3";"3";"4";"3"
"Dimitrije Kamenović";"6653";"2";"1";"1";"3";"3";"1";"2";"1";"1";"1";"1"
"Tommy Conway";"6654";"1";"2";"1";"4";"1";"2";"1";"3";"3";"1";"2"
"Nicolas Vouilloz";"6655";"3";"2";"1";"3";"2";"3";"3";"2";"2";"2";"1"
"Christopher Lungoyi";"6656";"3";"2";"3";"2";"2";"3";"2";"3";"3";"2";"3"
"Alex Mighten";"6657";"2";"3";"1";"3";"2";"1";"3";"2";"2";"2";"2"
"Arouna Sanganté";"6658";"2";"1";"3";"2";"2";"2";"1";"1";"2";"1";"2"
"Gabriel Vega";"6659";"3";"1";"1";"1";"2";"2";"2";"3";"1";"1";"1"
"Issa Soumaré";"6660";"2";"1";"3";"3";"2";"1";"1";"2";"2";"2";"1"
"Fares Chaïbi";"6661";"3";"1";"2";"2";"1";"2";"2";"2";"1";"3";"3"
"Billy Koumetio";"6662";"3";"3";"2";"3";"1";"2";"3";"1";"2";"3";"1"
"Christian Rasmussen";"6663";"1";"3";"3";"3";"1";"2";"1";"2";"3";"3";"2"
"Rafael Brito";"6664";"4";"2";"1";"3";"2";"1";"1";"2";"2";"2";"1"
"Tyias Browning";"6665";"3";"2";"2";"1";"3";"2";"3";"1";"3";"3";"2"
"Juan Cruz";"6666";"1";"2";"3";"2";"3";"3";"1";"1";"1";"3";"3"
"Mahmoud Gad";"6667";"13";"13";"13";"14";"13";"10";"12";"15";"12";"9";"11"
"Leighton Clarkson";"6668";"3";"2";"3";"1";"3";"4";"1";"1";"3";"4";"3"
"Germán Valera";"6669";"2";"2";"3";"3";"1";"2";"2";"3";"1";"2";"3"
"Matko Miljevic";"6670";"2";"2";"3";"2";"3";"4";"3";"1";"1";"3";"4"
"Carlos Dotor";"6671";"1";"3";"1";"2";"3";"2";"2";"2";"1";"2";"1"
"Oliver Dovin";"6672";"12";"10";"11";"7";"12";"12";"13";"13";"11";"5";"11"
"Martim Neto";"6673";"2";"2";"1";"2";"3";"3";"3";"1";"3";"1";"2"
"Nicholas Mickelson";"6674";"2";"3";"3";"1";"3";"2";"2";"3";"3";"2";"2"
"Martim Tavares";"6675";"4";"1";"2";"1";"3";"1";"1";"3";"1";"4";"1"
"Kacper Tobiasz";"6676";"13";"12";"10";"7";"10";"15";"14";"13";"13";"11";"12"
"Miguel Azeez";"6677";"1";"2";"2";"1";"3";"1";"1";"3";"1";"3";"3"
"Isak Jansson";"6678";"3";"1";"2";"2";"3";"1";"4";"1";"1";"3";"2"
"Martín Pascual";"6679";"3";"2";"2";"2";"3";"3";"1";"3";"1";"1";"1"
"Thomas Kastanaras";"6680";"2";"1";"1";"1";"3";"4";"2";"1";"3";"3";"3"
"Bautista Kociubinski";"6681";"2";"2";"1";"2";"3";"3";"3";"1";"3";"2";"2"
"Cristian Volpato";"6682";"4";"4";"3";"3";"3";"2";"2";"3";"3";"1";"1"
"Warren O'Hora";"6683";"3";"2";"1";"1";"1";"1";"2";"3";"3";"2";"2"
"Mathias Kvistgaarden";"6684";"2";"2";"2";"1";"3";"3";"3";"2";"1";"4";"2"
"Bradley Fink";"6685";"4";"2";"2";"3";"1";"1";"1";"4";"3";"1";"2"
"Giuseppe Di Serio";"6686";"3";"1";"3";"1";"3";"3";"4";"3";"2";"1";"2"
"Andrés Romero";"6687";"1";"3";"1";"1";"3";"1";"1";"1";"2";"2";"3"
"Jon Aramburu";"6688";"2";"2";"3";"2";"3";"3";"3";"2";"2";"2";"3"
"Ernest Poku";"6689";"3";"2";"2";"3";"2";"3";"2";"2";"2";"1";"2"
"Luke Woolfenden";"6690";"3";"2";"3";"3";"3";"1";"2";"3";"2";"3";"3"
"Christian Cappis";"6691";"3";"2";"2";"1";"3";"3";"2";"2";"1";"2";"2"
"Brian Oddei";"6692";"1";"1";"3";"1";"3";"1";"3";"3";"1";"3";"2"
"Robert Wagner";"6693";"3";"1";"3";"3";"2";"1";"3";"1";"1";"1";"3"
"Haissem Hassan";"6694";"1";"1";"2";"1";"3";"1";"2";"1";"2";"2";"3"
"Eguinaldo";"6695";"1";"3";"3";"2";"3";"1";"1";"1";"1";"1";"1"
"Ekanit Panya";"6696";"1";"3";"2";"1";"2";"2";"1";"3";"1";"4";"1"
"Louie Sibley";"6697";"3";"2";"2";"3";"2";"1";"2";"1";"3";"2";"1"
"Nikola Stanković";"6698";"3";"2";"1";"2";"2";"3";"1";"1";"1";"3";"1"
"Muhammed Damar";"6699";"1";"3";"2";"3";"2";"1";"3";"1";"2";"2";"2"
"Mamady Diambou";"6700";"3";"3";"1";"4";"1";"3";"3";"1";"2";"2";"1"
"Nikola Soldo";"6701";"1";"3";"3";"4";"2";"3";"1";"1";"1";"2";"1"
"John Kennedy";"6702";"3";"3";"3";"2";"3";"2";"3";"1";"1";"2";"3"
"Ki-Jana Hoever";"6703";"4";"2";"2";"3";"2";"3";"1";"1";"1";"2";"2"
"Sávio";"6704";"2";"2";"2";"1";"2";"3";"3";"2";"1";"2";"1"
"Mattie Pollock";"6705";"2";"1";"3";"3";"1";"3";"3";"3";"2";"3";"1"
"Zeno Debast";"6706";"3";"1";"3";"3";"1";"1";"2";"2";"3";"2";"3"
"Patrick Vroegh";"6707";"2";"3";"3";"3";"1";"1";"3";"1";"1";"1";"2"
"Kian Fitz-Jim";"6708";"2";"3";"3";"3";"3";"2";"2";"3";"1";"1";"3"
"Raymundo Fulgencio";"6709";"1";"1";"1";"4";"3";"2";"1";"3";"1";"3";"1"
"Akinkunmi Amoo";"6710";"2";"1";"3";"1";"3";"2";"1";"4";"1";"3";"4"
"Kevin Yakob";"6711";"3";"4";"3";"3";"3";"1";"3";"2";"1";"1";"2"
"Tobias Gulliksen";"6712";"1";"3";"2";"2";"1";"1";"3";"2";"1";"3";"3"
"Agustín Lagos";"6713";"1";"3";"3";"1";"2";"1";"3";"2";"2";"2";"3"
"Oh Hyeon-Gyu";"6714";"1";"1";"3";"3";"4";"2";"2";"1";"1";"2";"1"
"John Tolkin";"6715";"1";"1";"1";"2";"2";"1";"2";"2";"2";"3";"2"
"Roko Šimić";"6716";"2";"3";"3";"2";"1";"3";"1";"3";"1";"1";"3"
"Désiré Doué";"6717";"1";"1";"1";"2";"1";"2";"3";"1";"2";"1";"1"
"Mootez Zaddem";"6718";"1";"2";"3";"3";"1";"3";"2";"1";"2";"4";"1"
"Hayden Carter";"6719";"1";"2";"1";"2";"2";"3";"1";"3";"1";"1";"1"
"Hans Nicolussi Caviglia";"6720";"3";"1";"2";"1";"2";"3";"3";"1";"2";"2";"3"
