"Name(ocultar)";"Futbolista_ID";"Nombre";"Apellidos";"Edad";"Posicion";"Nacionalidad 1";"Nacionalidad 2";"Nacionalidad 3";"Fecha de nacimiento";"Equipo";"Sueldo (Semanal)";"Sueldo (mensual)";"Sueldo (Anual)";"Club de Cesion (Solo Jugador cedido)";"Apariciones con la selección nacional";"Goles con la selección nacional"
"Kim Yong-Hak";"7229";"Kim";"Yong-Hak";"19";"EXTREMO";"South Korea";;;"20/05/2003";"Pohang Steelers";"667";"2668";"32016";"Portimonense Sporting Clube";"0";"0"
"Aurèle Amenda";"7230";"Aurèle";"Amenda";"18";"DEFENSA CENTRO";"Switzerland";"Cameroon";;"31/07/2003";"BSC Young Boys";"1837";"7348";"88176";;"0";"0"
"Warren Bondo";"7231";"Warren";"Bondo";"18";"CENTROCAMPISTA";"France";;;"15/09/2003";"Brianza";"2022";"8088";"97056";;"0";"0"
"Marco Bertini";"7232";"Marco";"Bertini";"19";"MEDIOCENTRO DEFENSIVO";"Italy";;;"07/08/2002";"S.S. Lazio";"2763";"11052";"132624";;"0";"0"
"Orri Steinn Óskarsson";"7233";"Orri";"Steinn Óskarsson";"17";"EXTREMO";"Iceland";;;"29/08/2004";"Football Club København";"1344";"5376";"64512";;"0";"0"
"João Pedro";"7234";"João";"Pedro";"19";"DEFENSA CENTRO";"Brazil";;;"07/03/2003";"ATP";"949";"3796";"45552";;"0";"0"
"Matheus Nunes";"7235";"Matheus";"Nunes";"19";"CENTROCAMPISTA";"Brazil";;;"05/05/2003";"SAN";"378";"1512";"18144";;"0";"0"
"Keke Topp";"7236";"Keke";"Topp";"18";"DELANTERO";"Germany";;;"25/03/2004";"FC Schalke 04";"1917";"7668";"92016";;"0";"0"
"Fran Pérez";"7237";"Fran";"Pérez";"20";"EXTREMO";"Spain";;;"09/02/2002";"Valencia";"462";"1848";"22176";;"0";"0"
"Matteo Cardinali";"7238";"Matteo";"Cardinali";"21";"PORTERO";"Italy";;;"28/06/2001";"Latina Calcio 1932";"1653";"6612";"79344";;"0";"0"
"Mario Dorgeles";"7239";"Mario";"Dorgeles";"17";"MEDIOCENTRO DEFENSIVO";"Ghana";;;"18/08/2004";"Football Club Nordsjælland";"898";"3592";"43104";;"0";"0"
"Álvaro Leiva";"7240";"Álvaro";"Leiva";"17";"EXTREMO";"Spain";;;"28/12/2004";"R. Madrid";"1294";"5176";"62112";;"0";"0"
"Dennis Seimen";"7241";"Dennis";"Seimen";"16";"PORTERO";"Germany";;;"01/12/2005";"VfB Stuttgart";"64";"256";"3072";;"0";"0"
"Wanya Marçal-Madivádua";"7242";"Wanya";"Marçal-Madivádua";"19";"EXTREMO";"Portugal";"Angola";"England";"19/10/2002";"Leicester City";"1740";"6960";"83520";;"0";"0"
"Marcel Ratnik";"7243";"Marcel";"Ratnik";"18";"DEFENSA CENTRO";"Slovenia";;;"23/12/2003";"NK Olimpija Ljubljana";"647";"2588";"31056";;"0";"0"
"El Chadaille Bitshiabu";"7244";"El";"Chadaille Bitshiabu";"17";"DEFENSA CENTRO";"France";"Democratic Republic of Congo";;"16/05/2005";"Paris Saint-Germain";"1388";"5552";"66624";;"0";"0"
"Mateusz Łęgowski";"7245";"Mateusz";"Łęgowski";"19";"MEDIOCENTRO DEFENSIVO";"Poland";;;"29/01/2003";"Pogoń Szczecin";"291";"1164";"13968";;"0";"0"
"Chrislain Matsima";"7246";"Chrislain";"Matsima";"20";"DEFENSA CENTRO";"France";"Congo";;"15/05/2002";"AS Monaco";"1246";"4984";"59808";"FC Lorient";"0";"0"
"Warren Zaïre-Emery";"7247";"Warren";"Zaïre-Emery";"16";"MEDIOCENTRO DEFENSIVO";"France";;;"08/03/2006";"Paris Saint-Germain";"1388";"5552";"66624";;"0";"0"
"Tariq Uwakwe";"7248";"Tariq";"Uwakwe";"22";"CENTROCAMPISTA";"England";"Nigeria";;"19/11/1999";"Crewe Alexandra";"1392";"5568";"66816";;"0";"0"
"Nicolò Armini";"7249";"Nicolò";"Armini";"21";"LATERAL";"Italy";;;"07/03/2001";"S.S. Lazio";"17787";"71148";"853776";"Potenza Calcio";"0";"0"
"Filippo Mané";"7250";"Filippo";"Mané";"17";"LATERAL";"Italy";"Senegal";;"08/03/2005";"Borussia Dortmund";"5752";"23008";"276096";;"0";"0"
"Leandro Quiroz";"7251";"Leandro";"Quiroz";"18";"DEFENSA CENTRO";"Argentina";;;"16/01/2004";"Club Atlético Colón de Santa Fe";"699";"2796";"33552";;"0";"0"
"Andrii Buleza";"7252";"Andrii";"Buleza";"18";"LATERAL";"Ukraine";;;"25/01/2004";"Shakhtar Donetsk";"348";"1392";"16704";;"0";"0"
"Kobbie Mainoo";"7253";"Kobbie";"Mainoo";"17";"MEDIOCENTRO DEFENSIVO";"England";"Ghana";;"19/04/2005";"Manchester UFC";"1392";"5568";"66816";;"0";"0"
"Jacopo Lipani";"7254";"Jacopo";"Lipani";"21";"MEDIOCENTRO DEFENSIVO";"Italy";;;"24/04/2001";"Virtus Entella";"2022";"8088";"97056";"Monterosi Tuscia Football Club";"0";"0"
"Samba Diallo";"7255";"Samba";"Diallo";"19";"EXTREMO";"Senegal";;;"05/01/2003";"Dynamo Kyiv";"1511";"6044";"72528";;"0";"0"
"Arda Güler";"7256";"Arda";"Güler";"17";"EXTREMO";"Turkey";;;"25/02/2005";"Fenerbahçe A.Ş.";"2764";"11056";"132672";;"0";"0"
"Yannick Pandor";"7257";"Yannick";"Pandor";"21";"PORTERO";"Comoros";"France";"Madagascar";"01/05/2001";"RC Lens";"1096";"4384";"52608";;"1";"0"
"Federico Bonini";"7258";"Federico";"Bonini";"20";"LATERAL";"Italy";;;"06/08/2001";"Virtus Entella";"2022";"8088";"97056";"Gubbio";"0";"0"
"Ashley Phillips";"7259";"Ashley";"Phillips";"17";"DEFENSA CENTRO";"England";"Wales";;"26/06/2005";"Blackburn Rovers";"2900";"11600";"139200";;"0";"0"
"Juan José Pérez";"7260";"Juan";"José Pérez";"18";"EXTREMO";"Colombia";"Argentina";"Ecuador";"25/07/2004";"Club Deportivo América de Quito";"64";"256";"3072";;"0";"0"
"Philip Gameli Awuku";"7261";"Philip";"Gameli Awuku";"22";"DEFENSA CENTRO";"Ghana";;;"27/04/2000";"Yeni Malatyaspor";"1000";"4000";"48000";;"0";"0"
"Joe Haigh";"7262";"Joe";"Haigh";"19";"EXTREMO";"England";;;"16/03/2003";"Chelsea";"4060";"16240";"194880";"Derby County";"0";"0"
"Irakly Manelov";"7263";"Irakly";"Manelov";"19";"EXTREMO";"Russia";;;"19/09/2002";"FC Krasnodar";"7231";"28924";"347088";;"0";"0"
"Adrián Corral";"7264";"Adrián";"Corral";"19";"LATERAL";"Spain";;;"05/01/2003";"A. Madrid";"1294";"5176";"62112";;"0";"0"
"Daniel Pedrozo";"7265";"Daniel";"Pedrozo";"18";"DEFENSA CENTRO";"Colombia";;;"19/03/2004";"Real Cartagena Fútbol Club S.A.";"1145";"4580";"54960";;"0";"0"
"Carlos Cantillo";"7266";"Carlos";"Cantillo";"19";"EXTREMO";"Colombia";;;"21/02/2003";"Barranquilla Fútbol S.A.";"2204";"8816";"105792";;"0";"0"
"Alessandro Burlamaqui";"7267";"Alessandro";"Burlamaqui";"20";"CENTROCAMPISTA";"Peru";"Spain";"Brazil";"18/02/2002";"Valencia";"1294";"5176";"62112";"Badajoz";"0";"0"
"Thierry Small";"7268";"Thierry";"Small";"17";"LATERAL";"England";"Jamaica";"Panama";"01/08/2004";"Southampton";"5800";"23200";"278400";"Port Vale";"0";"0"
"Mateus Fernandes";"7269";"Mateus";"Fernandes";"18";"CENTROCAMPISTA";"Portugal";;;"10/07/2004";"Sporting Clube de Portugal";"3149";"12596";"151152";;"0";"0"
"Enis Destan";"7270";"Enis";"Destan";"20";"DELANTERO";"Turkey";;;"15/06/2002";"Trabzonspor A.Ş.";"7976";"31904";"382848";"Warta Poznań";"0";"0"
"Diego Almeida";"7271";"Diego";"Almeida";"18";"DEFENSA CENTRO";"Ecuador";"Spain";;"12/02/2004";"Barcelona";"1189";"4756";"57072";;"1";"0"
"Ángel Alarcón";"7272";"Ángel";"Alarcón";"18";"EXTREMO";"Spain";;;"15/05/2004";"Barcelona";"1189";"4756";"57072";;"0";"0"
"William Mikelbrencis";"7273";"William";"Mikelbrencis";"18";"LATERAL";"France";;;"25/02/2004";"Hamburger SV";"2105";"8420";"101040";;"0";"0"
"Alejandro Iturbe";"7274";"Alejandro";"Iturbe";"18";"PORTERO";"Spain";;;"02/09/2003";"A. Madrid";"856";"3424";"41088";;"0";"0"
"Gláuber";"7275";"Gláuber";"";"22";"DEFENSA CENTRO";"Brazil";;;"22/05/2000";"Al-Nasr Sports Club";"17973";"71892";"862704";;"0";"0"
"Burak İnce";"7276";"Burak";"İnce";"18";"CENTROCAMPISTA";"Turkey";;;"20/01/2004";"DSC Arminia Bielefeld";"6711";"26844";"322128";;"0";"0"
"Nazar Voloshyn";"7277";"Nazar";"Voloshyn";"19";"EXTREMO";"Ukraine";;;"17/06/2003";"Dynamo Kyiv";"552";"2208";"26496";"Kryvbas Kryvyi Rih";"0";"0"
"Joel Ordóñez";"7278";"Joel";"Ordóñez";"18";"DEFENSA CENTRO";"Ecuador";;;"21/04/2004";"Club Brugge KV";"3999";"15996";"191952";;"0";"0"
"Vladislav Shitov";"7279";"Vladislav";"Shitov";"19";"DELANTERO";"Russia";;;"07/05/2003";"Spartak Moscow";"7285";"29140";"349680";"Krylja Sovetov Samara";"0";"0"
"Luke Mbete";"7280";"Luke";"Mbete";"18";"DEFENSA CENTRO";"England";"Democratic Republic of Congo";;"18/09/2003";"Manchester City";"8699";"34796";"417552";"Huddersfield Town";"0";"0"
"Artem Sokolov";"7281";"Artem";"Sokolov";"19";"EXTREMO";"Russia";;;"01/04/2003";"Krylja Sovetov Samara";"3522";"14088";"169056";;"0";"0"
"Diego Moreira";"7282";"Diego";"Moreira";"17";"EXTREMO";"Portugal";"Belgium";"Guinea-Bissau";"06/08/2004";"SL Benfica";"4250";"17000";"204000";;"0";"0"
"Edouard Michut";"7283";"Edouard";"Michut";"19";"CENTROCAMPISTA";"France";;;"04/03/2003";"Paris Saint-Germain";"1388";"5552";"66624";"Sunderland";"0";"0"
"Giorgi Abuashvili";"7284";"Giorgi";"Abuashvili";"19";"EXTREMO";"Georgia";;;"08/02/2003";"FC Porto";"2749";"10996";"131952";;"0";"0"
"Lewis Schouten";"7285";"Lewis";"Schouten";"18";"MEDIOCENTRO DEFENSIVO";"Holland";;;"04/02/2004";"AZ Alkmaar";"886";"3544";"42528";;"0";"0"
"Emersonn";"7286";"Emersonn";"";"18";"EXTREMO";"Brazil";;;"10/07/2004";"ATP";"949";"3796";"45552";;"0";"0"
"Hugo Bueno";"7287";"Hugo";"Bueno";"19";"EXTREMO";"Spain";;;"18/09/2002";"Wolverhampton Wanderers";"1740";"6960";"83520";;"0";"0"
"Matheus Dias";"7288";"Matheus";"Dias";"20";"MEDIOCENTRO DEFENSIVO";"Brazil";;;"09/05/2002";"INT";"956";"3824";"45888";;"0";"0"
"Florent Da Silva";"7289";"Florent";"Da Silva";"19";"CENTROCAMPISTA";"France";;;"02/04/2003";"Olympique Lyonnais";"1276";"5104";"61248";;"0";"0"
"Ibrahima Baldé";"7290";"Ibrahima";"Baldé";"19";"DELANTERO";"France";;;"17/01/2003";"RC Lens";"797";"3188";"38256";"FC Annecy";"0";"0"
"Isaac Babadi";"7291";"Isaac";"Babadi";"17";"EXTREMO";"Holland";"Sierra Leone";;"05/04/2005";"PSV Eindhoven";"1050";"4200";"50400";;"0";"0"
"Stiven Shpendi";"7292";"Stiven";"Shpendi";"19";"EXTREMO";"Albania";"Italy";;"19/05/2003";"Cesena Football Club";"2022";"8088";"97056";;"0";"0"
"João Neves";"7293";"João";"Neves";"17";"CENTROCAMPISTA";"Portugal";;;"27/09/2004";"SL Benfica";"2749";"10996";"131952";;"0";"0"
"Matty Longstaff";"7294";"Matty";"Longstaff";"22";"CENTROCAMPISTA";"England";;;"21/03/2000";"Newcastle United";"28998";"115992";"1391904";"Colchester United";"0";"0"
"Sam Barnes";"7295";"Sam";"Barnes";"21";"DEFENSA CENTRO";"England";;;"10/03/2001";"Blackburn Rovers";"1160";"4640";"55680";;"0";"0"
"Ísak Snær Þorvaldsson";"7296";"Ísak";"Snær Þorvaldsson";"21";"CENTROCAMPISTA";"Iceland";;;"01/05/2001";"Breiðablik ungmennafélag";"1401";"5604";"67248";;"0";"0"
"Lucas Copado";"7297";"Lucas";"Copado";"18";"DELANTERO";"Germany";"Spain";;"10/01/2004";"FC Bayern München";"4794";"19176";"230112";;"0";"0"
"George Hall";"7298";"George";"Hall";"18";"CENTROCAMPISTA";"England";;;"15/07/2004";"Birmingham City";"812";"3248";"38976";;"0";"0"
"Christian Mosquera";"7299";"Christian";"Mosquera";"18";"LATERAL";"Spain";"Colombia";;"27/06/2004";"Valencia";"2900";"11600";"139200";;"0";"0"
"Nelson Palacio";"7300";"Nelson";"Palacio";"21";"MEDIOCENTRO DEFENSIVO";"Colombia";;;"16/06/2001";"Atlético Nacional S.A.";"1952";"7808";"93696";;"0";"0"
"Assaf Tzur";"7301";"Assaf";"Tzur";"23";"PORTERO";"Israel";;;"28/08/1998";"Hapoel Ironi Kiryat-Shmona";"2036";"8144";"97728";;"0";"0"
"Daniel Cabral";"7302";"Daniel";"Cabral";"20";"MEDIOCENTRO DEFENSIVO";"Brazil";;;"14/05/2002";"FLA";"1022";"4088";"49056";;"0";"0"
"Syver Aas";"7303";"Syver";"Aas";"18";"CENTROCAMPISTA";"Norway";;;"15/01/2004";"Odds BK";"806";"3224";"38688";;"0";"0"
"Vicente Pizarro";"7304";"Vicente";"Pizarro";"19";"MEDIOCENTRO DEFENSIVO";"Chile";;;"05/11/2002";"Colo Colo";"3817";"15268";"183216";;"0";"0"
"Ángel Fortuño";"7305";"Ángel";"Fortuño";"20";"PORTERO";"Spain";;;"05/10/2001";"Espanyol";"1294";"5176";"62112";;"0";"0"
"Johannes Schenk";"7306";"Johannes";"Schenk";"19";"PORTERO";"Germany";;;"13/01/2003";"FC Bayern München";"2877";"11508";"138096";;"0";"0"
"Andrés Gómez";"7307";"Andrés";"Gómez";"19";"EXTREMO";"Colombia";;;"12/09/2002";"Azul y Blanco Millonarios Fútbol Club S. A.";"2385";"9540";"114480";;"0";"0"
"Luca Unbehaun";"7308";"Luca";"Unbehaun";"21";"PORTERO";"Germany";;;"27/02/2001";"Borussia Dortmund";"4794";"19176";"230112";;"0";"0"
"Pedro Lucas";"7309";"Pedro";"Lucas";"19";"EXTREMO";"Brazil";;;"26/07/2002";"GRE";"1022";"4088";"49056";;"0";"0"
"Diogo Travassos";"7310";"Diogo";"Travassos";"18";"LATERAL";"Portugal";;;"31/03/2004";"Sporting Clube de Portugal";"2850";"11400";"136800";;"0";"0"
"Guillem Molina";"7311";"Guillem";"Molina";"22";"DEFENSA CENTRO";"Spain";;;"03/05/2000";"Sabadell";"1190";"4760";"57120";;"0";"0"
"Philipp Wydra";"7312";"Philipp";"Wydra";"19";"DELANTERO";"Austria";"Poland";;"07/01/2003";"1. FC Köln";"2095";"8380";"100560";;"0";"0"
"Zhang Linpeng";"7313";"Zhang";"Linpeng";"33";"LATERAL";"China PR";;;"09/05/1989";"Shanghai Port";"13951";"55804";"669648";;"92";"5"
"Valentín Umeres";"7314";"Valentín";"Umeres";"19";"DELANTERO";"Argentina";;;"16/06/2003";"Club Villa Dálmine";"872";"3488";"41856";;"0";"0"
"Jovan Mituljikić";"7315";"Jovan";"Mituljikić";"19";"EXTREMO";"Serbia";;;"20/01/2003";"FK Crvena zvezda Beograd";"273";"1092";"13104";;"0";"0"
"Valentín Carboni";"7316";"Valentín";"Carboni";"17";"EXTREMO";"Argentina";"Italy";;"05/03/2005";"FC Internazionale Milano";"2123";"8492";"101904";;"0";"0"
"Nikola Mituljikić";"7317";"Nikola";"Mituljikić";"19";"EXTREMO";"Serbia";;;"20/01/2003";"FK Crvena zvezda Beograd";"273";"1092";"13104";;"0";"0"
"Ante Crnac";"7318";"Ante";"Crnac";"18";"EXTREMO";"Croatia";;;"17/12/2003";"NK Slaven Belupo";"373";"1492";"17904";;"0";"0"
"Patricio Pernicone";"7319";"Patricio";"Pernicone";"21";"LATERAL";"Argentina";;;"04/07/2001";"Club Atlético Vélez Sarsfield";"1198";"4792";"57504";;"0";"0"
"Rodrigo Pinheiro";"7320";"Rodrigo";"Pinheiro";"19";"LATERAL";"Portugal";;;"28/08/2002";"FC Porto";"2350";"9400";"112800";;"0";"0"
"Gjivai Zechiël";"7321";"Gjivai";"Zechiël";"18";"MEDIOCENTRO DEFENSIVO";"Holland";;;"01/06/2004";"Feyenoord Rotterdam";"832";"3328";"39936";;"0";"0"
"Gianluca Prestianni";"7322";"Gianluca";"Prestianni";"16";"EXTREMO";"Argentina";;;"15/01/2006";"Club Atlético Vélez Sarsfield";"483";"1932";"23184";;"0";"0"
"Dion Kacuri";"7323";"Dion";"Kacuri";"18";"CENTROCAMPISTA";"Kosovo";"Switzerland";;"11/02/2004";"Grasshopper Club Zürich";"1402";"5608";"67296";;"0";"0"
"Nikola Stajić";"7324";"Nikola";"Stajić";"20";"LATERAL";"Serbia";;;"08/09/2001";"FK Radnički Niš";"303";"1212";"14544";;"0";"0"
"Marko Soldo";"7325";"Marko";"Soldo";"18";"CENTROCAMPISTA";"Croatia";"Bosnia and Herzegovina";;"22/11/2003";"GNK Dinamo Zagreb";"1610";"6440";"77280";;"0";"0"
"Chaka Traoré";"7326";"Chaka";"Traoré";"17";"EXTREMO";"Ivory Coast";;;"23/12/2004";"AC Milan";"255";"1020";"12240";;"0";"0"
"Álvaro Rodríguez";"7327";"Álvaro";"Rodríguez";"18";"EXTREMO";"Spain";"Uruguay";;"14/07/2004";"R. Madrid";"1206";"4824";"57888";;"0";"0"
"Facundo Giacopuzzi";"7328";"Facundo";"Giacopuzzi";"21";"LATERAL";"Argentina";;;"26/04/2001";"Club Atlético Tigre";"670";"2680";"32160";"Club Almagro";"0";"0"
"Harib Abdalla";"7329";"Harib";"Abdalla";"19";"EXTREMO";"United Arab Emirates";;;"26/11/2002";"Shabab Al-Ahli Dubai Football Club";"21049";"84196";"1010352";;"9";"1"
"Jasper Torkildsen";"7330";"Jasper";"Torkildsen";"18";"PORTERO";"Norway";;;"21/12/2003";"IK Start";"747";"2988";"35856";;"0";"0"
"Anderson Duarte";"7331";"Anderson";"Duarte";"18";"EXTREMO";"Uruguay";;;"23/03/2004";"Defensor Sporting Club";"209";"836";"10032";;"0";"0"
"Georgi Tunjov";"7332";"Georgi";"Tunjov";"21";"EXTREMO";"Estonia";;;"17/04/2001";"SPAL";"1618";"6472";"77664";;"6";"0"
"Daniel Bielica";"7333";"Daniel";"Bielica";"23";"PORTERO";"Poland";;;"30/04/1999";"Górnik Zabrze";"253";"1012";"12144";;"0";"0"
"Ben Chrisene";"7334";"Ben";"Chrisene";"18";"LATERAL";"England";;;"12/01/2004";"Aston Villa";"2900";"11600";"139200";"Kilmarnock";"0";"0"
"Matías Abaldo";"7335";"Matías";"Abaldo";"18";"EXTREMO";"Uruguay";"Germany";;"03/04/2004";"Defensor Sporting Club";"201";"804";"9648";;"0";"0"
"Lamine Camara";"7336";"Lamine";"Camara";"18";"CENTROCAMPISTA";"Senegal";;;"01/01/2004";"AS Académie Génération Foot";"116";"464";"5568";;"3";"2"
"Tommaso Berti";"7337";"Tommaso";"Berti";"18";"CENTROCAMPISTA";"Italy";;;"07/03/2004";"Cesena Football Club";"1914";"7656";"91872";"ACF Fiorentina";"0";"0"
"Julio Cerpa";"7338";"Julio";"Cerpa";"19";"EXTREMO";"Colombia";;;"20/07/2003";"Barranquilla Fútbol S.A.";"2092";"8368";"100416";;"0";"0"
"Sergio Maselli";"7339";"Sergio";"Maselli";"21";"MEDIOCENTRO DEFENSIVO";"Italy";;;"06/04/2001";"Juve Stabia";"1914";"7656";"91872";;"0";"0"
"Reuell Walters";"7340";"Reuell";"Walters";"17";"LATERAL";"England";"Germany";"Jamaica";"16/12/2004";"Arsenal";"1740";"6960";"83520";;"0";"0"
"Emmanuel Gómez Riga";"7341";"Emmanuel";"Gómez Riga";"20";"PORTERO";"Argentina";;;"14/09/2001";"Club Atlético Vélez Sarsfield";"1247";"4988";"59856";;"0";"0"
"Dragan Stoisavljević";"7342";"Dragan";"Stoisavljević";"18";"EXTREMO";"Serbia";;;"25/11/2003";"FK Voždovac Beograd";"340";"1360";"16320";"FK Radnički Novi Beograd";"0";"0"
"Brian Gutiérrez";"7343";"Brian";"Gutiérrez";"19";"DELANTERO";"United States";"Mexico";;"17/06/2003";"Chicago Fire FC";"2053";"8212";"98544";;"0";"0"
"Jay Henderson";"7344";"Jay";"Henderson";"20";"CENTROCAMPISTA";"Scotland";;;"21/02/2002";"St. Mirren";"580";"2320";"27840";;"0";"0"
"Kenan Yıldız";"7345";"Kenan";"Yıldız";"17";"EXTREMO";"Turkey";"Germany";;"04/05/2005";"Juventus";"10547";"42188";"506256";;"0";"0"
"João Moreira";"7346";"João";"Moreira";"18";"LATERAL";"Portugal";"Brazil";;"21/05/2004";"SPO";"905";"3620";"43440";;"0";"0"
"Giuseppe Leone";"7347";"Giuseppe";"Leone";"21";"MEDIOCENTRO DEFENSIVO";"Italy";;;"05/05/2001";"Siena 1904";"1778";"7112";"85344";;"0";"0"
"Awad Al-Nashri";"7348";"Awad";"Al-Nashri";"20";"CENTROCAMPISTA";"Saudi Arabia";;;"15/03/2002";"Al-Ittihad Club Jeddah";"17641";"70564";"846768";;"0";"0"
"Niko Rak";"7349";"Niko";"Rak";"19";"MEDIOCENTRO DEFENSIVO";"Croatia";;;"26/07/2003";"HNK Šibenik";"180";"720";"8640";;"0";"0"
"Kristian Nökkvi Hlynsson";"7350";"Kristian";"Nökkvi Hlynsson";"18";"EXTREMO";"Iceland";;;"23/01/2004";"AFC Ajax";"776";"3104";"37248";;"0";"0"
"Sergio Santos";"7351";"Sergio";"Santos";"21";"LATERAL";"Spain";;;"03/01/2001";"R. Madrid";"1495";"5980";"71760";"Mirandés";"0";"0"
"André";"7352";"André";"";"18";"LATERAL";"Brazil";;;"07/10/2003";"BAH";"884";"3536";"42432";;"0";"0"
"Khayon Edwards";"7353";"Khayon";"Edwards";"18";"EXTREMO";"England";"Jamaica";;"12/09/2003";"Arsenal";"5800";"23200";"278400";;"0";"0"
"Zach Awe";"7354";"Zach";"Awe";"18";"DEFENSA CENTRO";"England";"Nigeria";;"09/01/2004";"Arsenal";"1740";"6960";"83520";;"0";"0"
"Jovan Mijatović";"7355";"Jovan";"Mijatović";"17";"EXTREMO";"Serbia";;;"11/07/2005";"FK Crvena zvezda Beograd";"372";"1488";"17856";;"0";"0"
"Matheus Araújo";"7356";"Matheus";"Araújo";"20";"EXTREMO";"Brazil";;;"22/05/2002";"COR";"883";"3532";"42384";;"0";"0"
"Diogo Nascimento";"7357";"Diogo";"Nascimento";"19";"EXTREMO";"Portugal";;;"02/11/2002";"SL Benfica";"2768";"11072";"132864";;"0";"0"
"Isak Hansen-Aarøen";"7358";"Isak";"Hansen-Aarøen";"17";"CENTROCAMPISTA";"Norway";;;"22/08/2004";"Manchester UFC";"1624";"6496";"77952";;"0";"0"
"Coniah Boyce-Clarke";"7359";"Coniah";"Boyce-Clarke";"19";"PORTERO";"England";"Barbados";"Jamaica";"01/03/2003";"Reading";"2088";"8352";"100224";;"0";"0"
"Josh Grant";"7360";"Josh";"Grant";"23";"MEDIOCENTRO DEFENSIVO";"England";"Jamaica";;"11/10/1998";"Bristol Rovers";"2088";"8352";"100224";;"0";"0"
"Thapelo Maseko";"7361";"Thapelo";"Maseko";"18";"EXTREMO";"South Africa";;;"11/11/2003";"SuperSport United Football Club";"1349";"5396";"64752";;"2";"0"
"Goh Young-Joon";"7362";"Goh";"Young-Joon";"21";"DELANTERO";"South Korea";;;"09/07/2001";"Pohang Steelers";"934";"3736";"44832";;"1";"0"
"Fernando Somolinos";"7363";"Fernando";"Somolinos";"20";"DEFENSA CENTRO";"Spain";;;"04/04/2002";"S. Gijón";"1119";"4476";"53712";;"0";"0"
"Stefan Leković";"7364";"Stefan";"Leković";"18";"DEFENSA CENTRO";"Serbia";;;"09/01/2004";"FK Crvena zvezda Beograd";"426";"1704";"20448";;"0";"0"
"Fidel Ambríz";"7365";"Fidel";"Ambríz";"19";"CENTROCAMPISTA";"Mexico";;;"21/03/2003";"Club León";"853";"3412";"40944";;"0";"0"
"Jhon Vélez";"7366";"Jhon";"Vélez";"19";"MEDIOCENTRO DEFENSIVO";"Colombia";;;"25/07/2003";"Barranquilla Fútbol S.A.";"1983";"7932";"95184";;"0";"0"
"Demba Diop";"7367";"Demba";"Diop";"18";"CENTROCAMPISTA";"Senegal";;;"04/09/2003";"SV Zulte Waregem";"2000";"8000";"96000";;"0";"0"
"Strahinja Kerkez";"7368";"Strahinja";"Kerkez";"19";"DEFENSA CENTRO";"Cyprus";"Serbia";"Bosnia and Herzegovina";"13/12/2002";"AS Trencin";"547";"2188";"26256";;"0";"0"
"Justin Janitzek";"7369";"Justin";"Janitzek";"18";"LATERAL";"Germany";;;"10/02/2004";"FC Bayern München";"2877";"11508";"138096";;"0";"0"
"Nicolò Cudrig";"7370";"Nicolò";"Cudrig";"19";"DELANTERO";"Italy";;;"07/08/2002";"Juventus";"1000";"4000";"48000";;"0";"0"
"Jayden Addai";"7371";"Jayden";"Addai";"16";"EXTREMO";"Holland";"Ghana";;"26/08/2005";"AZ Alkmaar";"115";"460";"5520";;"0";"0"
"José Riasco";"7372";"José";"Riasco";"18";"DELANTERO";"Venezuela";;;"02/02/2004";"Philadelphia Union";"972";"3888";"46656";;"0";"0"
"Đorđe Gordić";"7373";"Đorđe";"Gordić";"17";"EXTREMO";"Serbia";;;"05/11/2004";"FK Mladost Lučani";"341";"1364";"16368";;"0";"0"
"Ismet Lushaku";"7374";"Ismet";"Lushaku";"21";"CENTROCAMPISTA";"Kosovo";"Sweden";;"22/09/2000";"Varbergs BoIS FC";"652";"2608";"31296";;"1";"0"
"Cristian Shpendi";"7375";"Cristian";"Shpendi";"19";"DELANTERO";"Albania";"Italy";;"19/05/2003";"Cesena Football Club";"1806";"7224";"86688";;"0";"0"
"Maro Katinić";"7376";"Maro";"Katinić";"18";"DEFENSA CENTRO";"Croatia";;;"13/04/2004";"GNK Dinamo Zagreb";"1160";"4640";"55680";;"0";"0"
"Angel Josuè Chibozo";"7377";"Angel";"Josuè Chibozo";"19";"EXTREMO";"Benin";;;"01/07/2003";"Juventus";"1787";"7148";"85776";"Amiens SC";"1";"0"
"Marco Da Graca";"7378";"Marco";"Da Graca";"20";"DELANTERO";"Italy";"Cape Verde Islands";;"01/05/2002";"Juventus";"2257";"9028";"108336";;"0";"0"
"Kerr Smith";"7379";"Kerr";"Smith";"17";"LATERAL";"Scotland";;;"12/12/2004";"Aston Villa";"928";"3712";"44544";;"0";"0"
"Mihajlo Petković";"7380";"Mihajlo";"Petković";"18";"EXTREMO";"Serbia";;;"27/05/2004";"FK Partizan Beograd";"372";"1488";"17856";;"0";"0"
"Aliou Traoré";"7381";"Aliou";"Traoré";"21";"CENTROCAMPISTA";"France";;;"08/01/2001";"Frosinone";"1618";"6472";"77664";;"0";"0"
"Ömer Beyaz";"7382";"Ömer";"Beyaz";"18";"EXTREMO";"Turkey";;;"29/08/2003";"VfB Stuttgart";"2634";"10536";"126432";"1. FC Magdeburg";"0";"0"
"Ivan Ćubelić";"7383";"Ivan";"Ćubelić";"19";"EXTREMO";"Croatia";;;"02/06/2003";"HNK Hajduk Split";"405";"1620";"19440";"NK Varaždin";"0";"0"
